County,County,State,T_TTL_EST1,T_TTL_MOE1,T_5_17y_TTL_EST2,T_5_17y_TTL_MOE2,T_5_17y_SpOEng_TTL_EST3,T_5_17y_SpOEng_TTL_MOE3,T_5_17y_SpSpan_TTL_EST4,T_5_17y_SpSpan_TTL_MOE4,T_5_17y_SpSpan_SpEngVW_TTL_EST5,T_5_17y_SpSpan_SpEngVW_TTL_MOE5,T_5_17y_SpSpan_SpEngW_TTL_EST6,T_5_17y_SpSpan_SpEngW_TTL_MOE6,T_5_17y_SpSpan_SpEngNoW_TTL_EST7,T_5_17y_SpSpan_SpEngNoW_TTL_MOE7,T_5_17y_SpSpan_SpEngNoA_TTL_EST8,T_5_17y_SpSpan_SpEngNoA_TTL_MOE8,T_5_17y_SpOIEL_TTL_EST9,T_5_17y_SpOIEL_TTL_MOE9,T_5_17y_SpOIEL_SpEngVW_TTL_EST10,T_5_17y_SpOIEL_SpEngVW_TTL_MOE10,T_5_17y_SpOIEL_SpEngW_TTL_EST11,T_5_17y_SpOIEL_SpEngW_TTL_MOE11,T_5_17y_SpOIEL_SpEngNoW_TTL_EST12,T_5_17y_SpOIEL_SpEngNoW_TTL_MOE12,T_5_17y_SpOIEL_SpEngNoA_TTL_EST13,T_5_17y_SpOIEL_SpEngNoA_TTL_MOE13,T_5_17y_SpAPIL_TTL_EST14,T_5_17y_SpAPIL_TTL_MOE14,T_5_17y_SpAPIL_SpEngVW_TTL_EST15,T_5_17y_SpAPIL_SpEngVW_TTL_MOE15,T_5_17y_SpAPIL_SpEngW_TTL_EST16,T_5_17y_SpAPIL_SpEngW_TTL_MOE16,T_5_17y_SpAPIL_SpEngNoW_TTL_EST17,T_5_17y_SpAPIL_SpEngNoW_TTL_MOE17,T_5_17y_SpAPIL_SpEngNoA_TTL_EST18,T_5_17y_SpAPIL_SpEngNoA_TTL_MOE18,T_5_17y_SpOthL_TTL_EST19,T_5_17y_SpOthL_TTL_MOE19,T_5_17y_SpOthL_SpEngVW_TTL_EST20,T_5_17y_SpOthL_SpEngVW_TTL_MOE20,T_5_17y_SpOthL_SpEngW_TTL_EST21,T_5_17y_SpOthL_SpEngW_TTL_MOE21,T_5_17y_SpOthL_SpEngNoW_TTL_EST22,T_5_17y_SpOthL_SpEngNoW_TTL_MOE22,T_5_17y_SpOthL_SpEngNoA_TTL_EST23,T_5_17y_SpOthL_SpEngNoA_TTL_MOE23,T_18_64y_TTL_EST24,T_18_64y_TTL_MOE24,T_18_64y_SpOEng_TTL_EST25,T_18_64y_SpOEng_TTL_MOE25,T_18_64y_SpSpan_TTL_EST26,T_18_64y_SpSpan_TTL_MOE26,T_18_64y_SpSpan_SpEngVW_TTL_EST27,T_18_64y_SpSpan_SpEngVW_TTL_MOE27,T_18_64y_SpSpan_SpEngW_TTL_EST28,T_18_64y_SpSpan_SpEngW_TTL_MOE28,T_18_64y_SpSpan_SpEngNoW_TTL_EST29,T_18_64y_SpSpan_SpEngNoW_TTL_MOE29,T_18_64y_SpSpan_SpEngNoA_TTL_EST30,T_18_64y_SpSpan_SpEngNoA_TTL_MOE30,T_18_64y_SpOIEL_SpEngNoW_TTL_EST31,T_18_64y_SpOIEL_SpEngNoW_TTL_MOE31,T_18_64y_SpOIEL_SpEngVW_TTL_EST32,T_18_64y_SpOIEL_SpEngVW_TTL_MOE32,T_18_64y_SpOIEL_SpEngW_TTL_EST33,T_18_64y_SpOIEL_SpEngW_TTL_MOE33,T_18_64y_SpOIEL_SpEngNoW_TTL_EST34,T_18_64y_SpOIEL_SpEngNoW_TTL_MOE34,T_18_64y_SpOIEL_SpEngNoA_TTL_EST35,T_18_64y_SpOIEL_SpEngNoA_TTL_MOE35,T_18_64y_SpAPIL_TTL_EST36,T_18_64y_SpAPIL_TTL_MOE36,T_18_64y_SpAPIL_SpEngVW_TTL_EST37,T_18_64y_SpAPIL_SpEngVW_TTL_MOE37,T_18_64y_SpAPIL_SpEngW_TTL_EST38,T_18_64y_SpAPIL_SpEngW_TTL_MOE38,T_18_64y_SpAPIL_SpEngNoW_TTL_EST39,T_18_64y_SpAPIL_SpEngNoW_TTL_MOE39,T_18_64y_SpAPIL_SpEngNoA_TTL_EST40,T_18_64y_SpAPIL_SpEngNoA_TTL_MOE40,T_18_64y_SpOthL_TTL_EST41,T_18_64y_SpOthL_TTL_MOE41,T_18_64y_SpOthL_SpEngVW_TTL_EST42,T_18_64y_SpOthL_SpEngVW_TTL_MOE42,T_18_64y_SpOthL_SpEngW_TTL_EST43,T_18_64y_SpOthL_SpEngW_TTL_MOE43,T_18_64y_SpOthL_SpEngNoW_TTL_EST44,T_18_64y_SpOthL_SpEngNoW_TTL_MOE44,T_18_64y_SpOthL_SpEngNoA_TTL_EST45,T_18_64y_SpOthL_SpEngNoA_TTL_MOE45,T_65y_TTL_EST46,T_65y_TTL_MOE46,T_65y_SpOEng_TTL_EST47,T_65y_SpOEng_TTL_MOE47,T_65y_SpSpan_TTL_EST48,T_65y_SpSpan_TTL_MOE48,T_65y_SpSpan_SpEngVW_TTL_EST49,T_65y_SpSpan_SpEngVW_TTL_MOE49,T_65y_SpSpan_SpEngW_TTL_EST50,T_65y_SpSpan_SpEngW_TTL_MOE50,T_65y_SpSpan_SpEngNoW_TTL_EST51,T_65y_SpSpan_SpEngNoW_TTL_MOE51,T_65y_SpSpan_SpEngNoA_TTL_EST52,T_65y_SpSpan_SpEngNoA_TTL_MOE52,T_65y_SpOIEL_TTL_EST53,T_65y_SpOIEL_TTL_MOE53,T_65y_SpOIEL_SpEngVW_TTL_EST54,T_65y_SpOIEL_SpEngVW_TTL_MOE54,T_65y_SpOIEL_SpEngW_TTL_EST55,T_65y_SpOIEL_SpEngW_TTL_MOE55,T_65y_SpOIEL_SpEngNoW_TTL_EST56,T_65y_SpOIEL_SpEngNoW_TTL_MOE56,T_65y_SpOIEL_SpEngNoA_TTL_EST57,T_65y_SpOIEL_SpEngNoA_TTL_MOE57,T_65y_SpAPIL_TTL_EST58,T_65y_SpAPIL_TTL_MOE58,T_65y_SpAPIL_SpEngVW_TTL_EST59,T_65y_SpAPIL_SpEngVW_TTL_MOE59,T_65y_SpAPIL_SpEngW_TTL_EST60,T_65y_SpAPIL_SpEngW_TTL_MOE60,T_65y_SpAPIL_SpEngNoW_TTL_EST61,T_65y_SpAPIL_SpEngNoW_TTL_MOE61,T_65y_SpAPIL_SpEngNoA_TTL_EST62,T_65y_SpAPIL_SpEngNoA_TTL_MOE62,T_65y_SpOthL_TTL_EST63,T_65y_SpOthL_TTL_MOE63,T_65y_SpOthL_SpEngVW_TTL_EST64,T_65y_SpOthL_SpEngVW_TTL_MOE64,T_65y_SpOthL_SpEngW_TTL_EST65,T_65y_SpOthL_SpEngW_TTL_MOE65,T_65y_SpOthL_SpEngNoW_TTL_EST66,T_65y_SpOthL_SpEngNoW_TTL_MOE66,T_65y_SpOthL_SpEngNoA_TTL_EST67,T_65y_SpOthL_SpEngNoA_TTL_MOE67,GEOID,ANSICODE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
"Ada County, Idaho",Ada County, Idaho,89716,"±3,950",14855,"±1,525",14558,"±1,502",223,±168,181,±153,42,±71,0,±30,0,±30,57,±58,57,±58,0,±30,0,±30,0,±30,10,±17,10,±17,0,±30,0,±30,0,±30,7,±12,7,±12,0,±30,0,±30,0,±30,56119,"±3,157",55266,"±3,096",564,±208,549,±210,15,±25,0,±30,0,±30,193,±114,193,±114,0,±30,0,±30,0,±30,96,±74,96,±74,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,18742,"±1,140",18507,"±1,148",165,±73,131,±69,10,±17,24,±22,0,±30,59,±39,51,±37,8,±13,0,±30,0,±30,11,±18,11,±18,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,16001,395066,2724705387,22159040,1052.015,8.556,43.451477,-116.244376
"Adams County, Colorado",Adams County, Colorado,33764,"±2,118",4574,±610,4517,±611,57,±73,53,±73,0,±30,0,±30,4,±7,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,21841,"±1,464",21376,"±1,458",343,±162,289,±141,36,±37,18,±29,0,±30,111,±83,93,±75,0,±30,18,±30,0,±30,11,±17,11,±17,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,7349,±664,7282,±670,52,±37,52,±37,0,±30,0,±30,0,±30,15,±17,15,±17,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,8001,198116,3021840476,43702199,1166.739,16.874,39.874325,-104.331872
"Adams County, Pennsylvania",Adams County, Pennsylvania,10412,±884,1246,±257,1232,±256,14,±14,8,±11,6,±9,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,6165,±681,6105,±678,17,±19,10,±16,7,±10,0,±27,0,±27,36,±39,36,±39,0,±27,0,±27,0,±27,7,±13,7,±13,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,3001,±366,2966,±361,11,±13,11,±13,0,±27,0,±27,0,±27,24,±23,24,±23,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,42001,1213656,1343400757,7771555,518.69,3.001,39.869471,-77.21773
"Aiken County, South Carolina",Aiken County, South Carolina,14634,"±1,197",1173,±375,1173,±375,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,7922,±781,7899,±778,23,±30,15,±23,8,±14,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,5539,±565,5490,±548,22,±27,9,±15,0,±32,13,±22,0,±32,27,±45,27,±45,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,45003,1247979,2773070083,24554644,1070.688,9.481,33.550013,-81.632983
"Alachua County, Florida",Alachua County, Florida,27968,"±1,944",3557,±808,3475,±809,82,±122,12,±28,70,±116,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,16660,"±1,471",16360,"±1,462",178,±155,178,±155,0,±34,0,±34,0,±34,107,±84,107,±84,0,±34,0,±34,0,±34,15,±25,15,±25,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,7751,±777,7644,±779,59,±66,43,±61,16,±25,0,±34,0,±34,10,±15,10,±15,0,±34,0,±34,0,±34,38,±58,38,±58,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,12001,308548,2267910948,241291892,875.645,93.163,29.67574,-82.357221
"Alamance County, North Carolina",Alamance County, North Carolina,18013,"±1,387",2243,±442,2235,±442,8,±12,8,±12,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,10970,"±1,052",10780,"±1,018",142,±125,121,±122,21,±25,0,±31,0,±31,48,±55,48,±55,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,4800,±472,4744,±486,40,±60,37,±60,3,±5,0,±31,0,±31,16,±24,16,±24,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,37001,1008531,1096736064,27940533,423.452,10.788,36.043954,-79.400573
"Alameda County, California",Alameda County, California,79999,"±2,126",9364,±788,8709,±790,311,±155,293,±148,18,±23,0,±31,0,±31,75,±49,57,±37,0,±31,18,±30,0,±31,269,±165,229,±162,30,±29,10,±16,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,50691,"±1,503",48682,"±1,389",1136,±366,1044,±354,42,±48,19,±36,31,±47,616,±214,561,±213,51,±29,4,±6,0,±31,193,±80,190,±80,3,±5,0,±31,0,±31,64,±69,64,±69,0,±31,0,±31,0,±31,19944,±831,19472,±822,264,±81,221,±69,32,±35,11,±18,0,±31,141,±66,141,±66,0,±31,0,±31,0,±31,67,±40,67,±40,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,6001,1675839,1910010507,216909647,737.459,83.749,37.647139,-121.912488
"Albany County, New York",Albany County, New York,26083,"±1,381",2628,±439,2512,±432,76,±58,48,±44,28,±39,0,±30,0,±30,30,±48,21,±34,9,±15,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,10,±13,10,±13,0,±30,0,±30,0,±30,16875,"±1,144",16670,"±1,133",131,±104,131,±104,0,±30,0,±30,0,±30,63,±46,63,±46,0,±30,0,±30,0,±30,11,±20,11,±20,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,6580,±481,6503,±482,17,±18,17,±18,0,±30,0,±30,0,±30,34,±39,34,±39,0,±30,0,±30,0,±30,26,±45,26,±45,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,36001,974099,1354273421,26971925,522.888,10.414,42.58824,-73.97401
"Albemarle County, Virginia",Albemarle County, Virginia,13466,±900,1517,±321,1500,±318,7,±11,7,±11,0,±31,0,±31,0,±31,10,±14,10,±14,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,7502,±577,7393,±561,40,±41,40,±41,0,±31,0,±31,0,±31,69,±51,48,±36,0,±31,21,±34,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,4447,±436,4394,±436,17,±19,8,±13,9,±14,0,±31,0,±31,36,±43,36,±43,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,51003,1675170,1866014148,14223772,720.472,5.492,38.024184,-78.553506
"Alexandria city, Virginia",Alexandria city, Virginia,15221,±916,1351,±280,1324,±281,21,±31,21,±31,0,±31,0,±31,0,±31,6,±12,0,±31,0,±31,6,±12,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,10595,±780,10252,±785,153,±98,144,±97,9,±14,0,±31,0,±31,123,±106,123,±106,0,±31,0,±31,0,±31,67,±52,59,±51,8,±12,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,3275,±377,3142,±381,31,±27,15,±18,16,±18,0,±31,0,±31,102,±73,102,±73,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,51510,1498415,38682338,1069028,14.935,0.413,38.819251,-77.08367
