Name,Address,City,State,Zip,Services
Andromeda Transcultural Health,1400 Decatur Street NW,Washington,District of Columbia 20011,20011,"? MH SUMH ? OP ? OMH ? GT IPT PTM ? PVTN ? CLF MC MD OSF PI SF SI SMHA ? SS ? SE 
GL CO HV SMI ? CDM DEC ES IPC PRS ? NRT STU TCC ? SMON ? ADLT SNR YAD ? SP"
Boys Town Washington DC,4801 Sergeant Road NE,Washington,District of Columbia 20017,20017,"? MH ? OP ? OMH ? BMT CBT CFT IPT ? PVTN ? CLF MD MI PI SCJJ SF SWFS ? COOT ? 
SMPD ? CHLD"
Center Clinic George Washington University,"1922 F Street NW, Suite 100",Washington,District of Columbia 20052,20052,"? MH ? OP ? CMHC ? CFT GT IPT ? PVTN ? SF ? SS ? SMON ? ADLT CHLD SNR YAD ? SP F4 
F17 F25 F28 F30 F35"
Child and Youth Mental Health Servs Behavioral Health Services Division,821 Howard Road SE,Washington,District of Columbia 20020,20020,"? MH ? OP ? OMH ? BMT CBT CFT GT IPT PTM TT ? WI ? LMG ? FQHC ? CMHG CSBG MD 
SCJJ SI SMHA SWFS ? PA ? SED ? CM COOT DEC FPSY SPS ? SMPD ? CHLD YAD ? AH"
Circles of Hope Psychotherapy and Addiction Services,"3000 Connecticut Avenue NW, Suite 321",Washington,District of Columbia 20008,20008,"? MH SUMH ? OP ? OMH ? BMT CBT CFT DBT GT IDD IPT TT ? CIT ? PVTP ? CLF CMHG 
CSBG MD MI OSF PI SCJJ SEF SF SMHA ? SS ? TAY SE GL VET ADM MF CO HV TRMA PTSD ? 
CM COOT DEC ES FPSY ICM PRS SPS VRS ? TCC ? SMON ? ADLT CHLD SNR YAD"
Community Connections Inc,801 Pennsylvania Avenue SE Suite 201,Washington,District of Columbia 20003,20003,"? MH SUMH ? OP PHDT ? OMH ? AT BMT CBT CFT GT IDD IPT PTM TT ? PVTN ? MC MD OSF 
SF SI SMHA SWFS VAF ? TAY SE GL VET CJ CO HV TRMA TBI PTSD SED SMI ? ACT CDM CM 
COOT FPSY IMR IPC PRS SEMP SH SPS ? SMPD ? ADLT CHLD SNR YAD ? AH ? SP"
Community of Hope Marie Reed Health Center,2155 Champlain Street NW,Washington,District of Columbia 20002,20002,"? MH ? OP ? OMH ? CBT IPT PTM TT ? FQHC ? MC MD OSF PI SF SMHA ? SS ? CO ? CM 
FPSY HS IPC SH SPS ? STU TCC ? SMPD ? ADLT CHLD SNR YAD ? AH"
Core Services Agency,1338 North Capitol NW,Washington,District of Columbia 20002,20002,"? MH SUMH ? OP ? OMH ? AT CBT GT IPT PTM TT ? CIT WI ? PVTN ? FQHC ? CLF MC MD SF 
? SS ? SE GL VET ADM CJ CO HV TRMA PED PTSD SMI ? CM COOT FPSY HS ICM LAD PRS 
SPS ? SMPD ? ADLT SNR YAD ? AH"
Deaf REACH,3722 12th Street NE,Washington,District of Columbia 20017,20017,"? MH ? OP RES ? CMHC ? CIT ? PVTN ? CLF MD ? CM COOT ES HS PRS SH SPS PEER ? 
SMPD ? ADLT SNR YAD ? AH"
Episcopal Center for Children,5901 Utah Avenue NW,Washington,District of Columbia 20015,20015,"? MH ? PHDT ? PH ? AT BMT CBT CFT DBT GT IPT PTM TT ? CIT ? PVTN ? FQHC ? SEF SF 
SMHA ? TRMA PTSD SED ? CM ES FPSY ICM PRS ? SMON ? CHLD ? SP"
Family Preservation Services Inc,3341 Benning Road NE,Washington,District of Columbia 20019,20019,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT GT IDD IPT PTM ? CIT WI ? PVTP ? CLF MC MD PI 
SI SMHA SWFS ? TAY CO HV TRMA SED SMI ? ACT COOT DEC ES FPSY HS LAD PRS SPS 
VRS ? SMPD ? ADLT CHLD SNR YAD ? SP"
George Washington University Hosp Department of Psychiatry/Inpatient,900 23rd Street NW,Washington,District of Columbia 20037,20037,"? MH SUMH ? HI ? PSY ? AT CBT CFT DBT GT IDD IPT PTM ? CIT WI ? PVTP ? MC MD MI PI 
SF SI ? ACT CDM CM DEC ES FPSY IMR IPC SH SPS ? NRT NSC STU TCC ? SMON ? ADLT 
SNR YAD ? AH ? SP F28"
Hillcrest Children and Family Center,3029 Martin Luther King Jr Avenue SE,Washington,District of Columbia 20032,20032,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? CLF 
CMHG CSBG MD MI PI SEF SF SMHA ? SS ? TAY SE GL VET ADM MF CJ CO HV TRMA PTSD 
SMI ? ACT CM COOT FPSY HS ICM IPC PRS SEMP SH PEER ? SMON ? ADLT CHLD SNR YAD 
? AH"
Hillcrest Children and Family Center,915 Rhode Island Avenue NW,Washington,District of Columbia 20001,20001,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? CLF 
CMHG CSBG MD MI PI SEF SF SMHA ? SS ? TAY SE GL VET ADM MF CJ CO HV TRMA PTSD 
SMI ? ACT CM COOT FPSY HS ICM IPC PRS SEMP SH PEER ? SMON ? ADLT CHLD SNR YAD 
? AH"
Institute for Life Enrichment (ILE),7852 16th Street NW,Washington,District of Columbia 20012,20012,"? MH ? OP ? OMH ? BMT CBT CFT GT IPT PTM ? PVTP ? MC MD PI SF SI ? TAY SE GL VET 
ADM MF CJ HV TRMA ALZ SED SMI ? SPS ? SMON ? ADLT CHLD SNR YAD ? SP F30"
Latin American Youth Center,1419 Columbia Road NW,Washington,District of Columbia 20009,20009,"? MH SUMH ? OP ? OMH ? BMT CBT CFT GT IDD IPT PTM TT ? PVTN ? CLF MD ? PA ? TAY CJ 
CO TRMA PTSD SED ? CM COOT FPSY ICM SPS ? SMON ? CHLD YAD ? SP"
Marys Center,2333 Ontario Road NW,Washington,District of Columbia 20009,20009,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? FQHC ? 
CMHG CSBG MC MD MI PI SEF SF SI SMHA ? SS ? CO SMI ? CDM CM COOT DEC ES FPSY 
HS IMR IPC PRS SPS ? STU TCC ? SMON ? ADLT CHLD SNR YAD ? SP"
Marys Center,3912 Georgia Avenue NW,Washington,District of Columbia 20011,20011,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT IPT PTM TT ? PVTN ? FQHC ? CMHG 
CSBG MC MD MI PI SEF SF SI SMHA ? SS ? CO HV SED SMI ? COOT DEC FPSY IPC SPS ? 
SMON ? ADLT CHLD SNR YAD ? SP"
McClendon Center,1313 New York Avenue NW 5th Floor,Washington,District of Columbia 20005,20005,"? MH SUMH ? OP ? MSNH ? AT CBT GT IDD IPT TT ? CIT ? PVTN ? FQHC ? CLF MC MD ? SE 
GL VET CJ CO HV TRMA PTSD SMI ? COOT DEC PRS SPS PEER ? SMPD ? ADLT SNR YAD ? 
AH"
MedStar Washington Hospital Center Outpatient Behavioral Health,216 Michigan Avenue NE,Washington,District of Columbia 20017,20017,"? MH SUMH ? OP ? OMH ? CBT GT IDD IPT PTM TT ? PVTP ? CLF MC MD MI PI SCJJ SF SI 
SMHA VAF ? SE CO TRMA PTSD SMI ? CDM IMR SPS ? NRT TCC ? SMON ? ADLT SNR YAD ? 
SP"
Meyer Treatment Center of The Washington School of Psychiatry,"5028 Wisconsin Avenue NW, Suite 400",Washington,District of Columbia 20016,20016,"? MH ? OP ? CMHC ? CBT CFT IPT PTM TT ? PVTN ? MC PI SF ? SS ? SMPD ? ADLT SNR 
YAD ? AH ? SP F28 F36 F70"
Neighbors Consejo,6323 Georgia Avenue NW Suite 206,Washington,District of Columbia 20011,20011,"? MH ? OP ? OMH ? BMT CBT GT IDD IPT PTM TT ? WI ? PVTN ? CLF MC MD OSF PI SI ? PA 
? CO TRMA PTSD SMI ? CM COOT ES FPSY HS IPC PRS ? SMPD ? ADLT SNR YAD ? SP"
Neighbors Consejo,2041 Martin Luther King Jr Avenue SE Suite 244,Washington,District of Columbia 20020,20020,"? MH ? OP ? OMH ? BMT CBT IDD IPT PTM TT ? WI ? PVTN ? CLF MC MD OSF PI SI ? PA ? 
CO TRMA PTSD SMI ? CM COOT ES FPSY HS IPC PRS ? SMPD ? ADLT SNR YAD ? SP"
Pathways to Housing DC,828 Evarts Street NE,Washington,District of Columbia 20018,20018,"? MH SUMH ? OP ? OMH ? GT IDD IPT PTM ? PVTN ? CLF MD OSF SI SMHA VAF ? VET CO ? 
ACT CM HS ICM IPC SEMP SH PEER ? STU ? SMPD ? ADLT SNR YAD ? SP"
PSI Family Services Inc,5820 Dix Street NE,Washington,District of Columbia 20019,20019,"? MH SUMH ? OP PHDT ? CMHC ? AT BMT CBT CFT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
FQHC ? CLF CMHG CSBG MC MD OSF PI SCJJ SI SMHA SWFS ? SE VET CO TRMA PED 
PTSD SMI ? ACT CM COOT DEC FPSY HS ICM IMR IPC PRS SEMP SPS VRS ? NSC ? SMPD ? 
ADLT CHLD SNR YAD ? SP"
Saint Elizabeths Hospital Adult Forensic and Civil Services,1100 Alabama Avenue SE,Washington,District of Columbia 20032,20032,"? MH SUMH ? HI ? PSY ? AT BMT CBT DBT GT IDD IPT PTM TT ? OSG ? MC MD PI SCJJ SF 
SMHA VAF ? PA ? SMI ? DEC ES FPSY IPC LAD PRS SEMP SPS ? NRT NSC STU TCC ? SMON 
? ADLT SNR YAD"
Sibley Memorial Hosp Behav Health Unit,5255 Loughboro Road NW,Washington,District of Columbia 20016,20016,"? MH SUMH ? HI OP ? PSY ? AT CBT DBT ECT GT IDD IPT PTM ? CIT ? PVTN ? MC MD MI PI 
SF ? TAY SE GL MF CO HV TRMA ALZ PED PTSD SMI ? DEC FPSY IMR SPS ? NRT STU TCC ? 
SMON ? ADLT SNR YAD ? AH"
So Others Might Eat,60 O Street NW,Washington,District of Columbia 20001,20001,"? MH SUMH ? OP ? OMH ? AT BMT CBT GT IDD IPT PTM TT ? WI ? PVTN ? FQHC ? CLF 
CMHG MC MD OSF SF SI SMHA SWFS ? PA SS ? CO TRMA SMI ? CDM CM DEC HS IPC PRS 
PEER ? STU TCC ? SMPD ? ADLT SNR YAD"
Washington Hospital Center Behavioral Health Services,110 Irving Street NW,Washington,District of Columbia 20010,20010,"? MH SUMH ? HI OP ? PSY ? AT CBT CFT GT IDD IPT PTM ? CIT WI ? PVTN ? MC MD PI SF SI 
SMHA ? CO ? CDM CM COOT DEC ES IMR IPC SPS PEER ? NRT NSC STU ? SMON ? ADLT 
SNR YAD ? AH"
Wendt Center for Loss and Healing,2041 Martin Luther King Jr Avenue SE Suite 234,Washington,District of Columbia 20020,20020,"? MH ? OP ? OMH ? CBT CFT DBT GT IPT TT ? PVTN ? MC MD MI PI SF SI SMHA ? GL TRMA 
PTSD ? FPSY ? SMPD ? ADLT CHLD SNR YAD ? AH ? SP"
Wendt Center for Loss and Healing,4201 Connecticut Avenue NW,Washington,District of Columbia 20008,20008,"? MH ? OP ? OMH ? CBT CFT DBT GT IPT TT ? PVTN ? CLF MC MD PI SF SI ? SS ? TRMA 
PTSD ? FPSY ? SMPD ? ADLT CHLD SNR YAD ? AH ? SP"
