Name,Address,City,State,Zip,Services
Bay Pines VA Healthcare System Veterans Affairs Medical Center,10000 Bay Pines Boulevard,Bay Pines,Florida 33744,33744,"? MH SUMH ? HI OP RES TELE ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? VAMC 
? VAF ? VET CO PTSD ? ACT CDM CM DEC ES FPSY HS ICM IMR IPC PRS SEMP SH SPS VRS 
PEER ? NRT NSC STU TCC ? SMON ? ADLT SNR YAD ? VO"
Apalachee Center Inc Franklin County Clinic,159 12th Street,Apalachicola,Florida 32320,32320,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT IDD IPT PTM TT ? CIT WI ? PVTN ? MC MD PI SF 
SI SMHA ? SS ? CJ CO SED SMI ? CM COOT IMR SPS PEER ? NSC STU ? SMPD ? ADLT CHLD 
SNR YAD ? AH"
Florida Center for Addictions and Dual Disorders,100 West College Drive,Avon Park,Florida 33825,33825,"? MH ? RES TELE ? RTCA ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? OSG ? PI SF SI 
SMHA ? SS ? CO ? CM FPSY ? NRT TCC ? SMON ? ADLT SNR YAD ? AH"
Peace River Center Personal Dev/Avon Park CFHC,950 County Road 17-A West,Avon Park,Florida 33825,33825,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT GT IDD IPT PTM TT ? PVTN ? FQHC ? CLF 
MC MD MI OSF PI SCJJ SF SI SMHA SWFS ? CO TRMA PTSD SED ? CM FPSY IPC ? SMPD ? 
ADLT CHLD SNR YAD ? AH"
Peace River Center Crisis Stabilization Unit,1255 Golfview Avenue,Bartow,Florida 33830,33830,"? MH SUMH ? HI OP ? PSY ? GT PTM ? CIT WI ? PVTN ? CLF MD MI PI SF SMHA SWFS ? CO 
? CM FPSY SPS ? STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH ? SP"
Peace River Center Personal Development/SRT,1255 Golfview Drive,Bartow,Florida 33830,33830,"? MH SUMH ? RES ? RTCA ? AT BMT GT IPT PTM ? PVTN ? SMHA ? SMI ? CM FPSY SPS ? 
STU TCC ? SMON ? ADLT SNR YAD ? AH ? SP"
Life Management Center Calhoun County Facility,16869 NE Pear Street,Blountstown,Florida 32424,32424,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT GT IDD IPT TT ? PVTN ? MC MD MI PI SF ? CM 
COOT FPSY SPS ? SMPD ? ADLT CHLD SNR YAD ? AH"
Faulk Center for Counseling,22455 Boca Rio Road,Boca Raton,Florida 33433,33433,"? MH ? OP ? OMH ? BMT CBT CFT DBT GT IPT TT ? PVTN ? SF ? PA SS ? TAY SE GL TRMA ? 
ACT COOT ES FPSY SPS ? SMPD ? ADLT CHLD SNR YAD ? SP F67"
Ruth and Norman Rales Jewish Family Services,21300 Ruth and Baron Coleman Boulevard,Boca Raton,Florida 33428,33428,"? MH ? OP TELE ? CMHC ? CBT CFT GT IPT PTM ? PVTN ? FQHC ? MC PI SF ? SS ? SE GL ? 
CM VRS ? SMPD ? ADLT CHLD SNR YAD ? F31"
Life Management Center Holmes County,310 East Byrd Avenue,Bonifay,Florida 32425,32425,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT GT IDD IPT TT ? WI ? PVTN ? MC MD MI PI 
SF ? CM COOT FPSY SPS PEER ? SMPD ? ADLT CHLD SNR YAD ? AH"
Compass Health Systems Boynton Beach Clinic,10301 Hagen Ranch Road Suite B-6,Boynton Beach,Florida 33437,33437,"? MH SUMH ? OP ? OMH ? BMT CBT CFT DBT GT IDD IPT PTM TT ? WI ? PVTP ? CLF MC MD 
MI OSF PI SCJJ SEF SF SI SMHA SWFS ? SS ? CJ ? CDM COOT DEC ES FPSY IMR IPC SPS ? 
NSC STU TCC ? SMPD ? ADLT CHLD SNR YAD ? AH ? SP F35 F67 F9"
Centerstone,371 6th Avenue West,Bradenton,Florida 34205,34205,"? MH SUMH ? OP ? CMHC ? AT BMT CBT CFT GT IPT TT ? CIT WI ? PVTN ? CLF CMHG CSBG 
MC MD MI OSF PI SCJJ SEF SF SWFS ? PA SS ? PTSD ? CM FPSY ICM SPS ? STU TCC ? 
SMPD ? ADLT CHLD SNR YAD ? AH ? SP F19"
Centerstone Florida,379 6th Avenue West,Bradenton,Florida 34205,34205,"? MH SUMH ? OP ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CLF 
CMHG MC MD MI PI SF SI SMHA SWFS ? SS ? CO TRMA SMI ? ACT CM FPSY ICM PRS SEMP 
SPS ? STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH ? SP F19"
