Name,Address,City,State,Zip,Services
Legacy Behavioral Health Services Cook County Mental Health,1905 South Hutchinson Avenue,Adel,Georgia 31620,31620,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT GT IDD IPT PTM TT ? WI ? OSG ? CLF MC MD MI 
PI SF SI SMHA SWFS VAF ? PA SS ? TAY SE CO TRMA PTSD SED SMI ? ACT CM COOT FPSY 
HS PRS SEMP SH SPS PEER ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
Aspire BHDD Albany Area CSB,601 11th Avenue,Albany,Georgia 31701,31701,"? MH SUMH ? OP RES TELE ? MSNH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? WI ? LMG 
? CLF CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF ? PA SS ? SE CO SMI ? ACT CM 
COOT FPSY ICM PRS SPS PEER ? SMON ? ADLT SNR YAD ? SP"
Unison Behavioral Health Bacon BHS,108 East 5th Street,Alma,Georgia 31510,31510,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? OSG ? MC 
MD PI SCJJ SF SI SMHA SWFS ? PA SS ? CO SED ? CM COOT DEC ES FPSY HS ICM PRS 
SEMP SH SPS ? TCC ? SMPD ? ADLT CHLD SNR YAD"
Middle Flint Behavioral Healthcare Breezeway Adult MH Day Services,100 Head Avenue,Americus,Georgia 31719,31719,"? MH SUMH ? OP TELE ? OMH ? AT GT IPT PTM TT ? CIT ? OSG ? CLF CMHG CSBG ITU MC 
MD MI OSF PI SCJJ SF SI SMHA VAF ? SS ? SE GL VET ADM MF CJ HV TRMA PTSD SMI ? 
DEC ES PRS SPS PEER ? SMPD ? ADLT SNR YAD ? AH"
Middle Flint Behavioral Healthcare Family Enrichment Center,415 North Jackson Street,Americus,Georgia 31709,31709,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? OSG ? 
CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? SS ? TAY SE GL 
VET ADM MF CJ CO HV TRMA PED PTSD SED SMI ? CDM CM COOT FPSY PRS SH SPS PEER 
? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
Advantage Behavioral Health Systems Athens/Clarke Clinic,240 Mitchell Bridge Road,Athens,Georgia 30606,30606,"? MH SUMH ? OP PHDT RES TELE ? MSNH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT 
WI ? SMA ? CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? PA SS ? 
CJ CO HV TRMA SMI ? ACT CM COOT DEC ES FPSY HS PRS SEMP SH SPS VRS PEER ? STU 
? SMPD ? ADLT CHLD SNR YAD"
Advantage Behavioral Health Systems I CAN Peer Support Program,240 Mitchell Bridge Road,Athens,Georgia 30606,30606,"? MH SUMH ? OP TELE ? CMHC ? DBT GT IDD PTM TT ? CIT ? OSG ? MC MD SF SMHA ? PA 
SS ? CO SMI ? CM COOT DEC ES IMR PRS SPS VRS PEER ? SMPD ? ADLT SNR YAD ? AH"
Advantage Behavioral Health Systems Youth Services,240 Mitchell Bridge Road,Athens,Georgia 30606,30606,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT ? SMA ? 
CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS ? PA SS ? TAY GL CJ CO 
TRMA PED PTSD SED ? CM COOT ES FPSY HS PRS SEMP SH SPS TPC PEER ? SMON ? 
CHLD YAD"
Charlie Norwood VAMC Athens Clinic,9249 Highway 29 South Suite A,Athens,Georgia 30601,30601,"? MH SUMH ? OP TELE ? CBT CFT DBT GT IPT PTM TT ? CIT WI ? VAMC ? MC MD MI PI SI 
VAF ? VET MF CO TRMA PTSD ? CDM CM DEC ES FPSY IMR IPC LAD SPS PEER ? NRT NSC 
STU TCC ? SMON ? ADLT SNR YAD ? VO"
Adamsville Regional Health Center,3700 Martin Luther King Jr Drive,Atlanta,Georgia 30331,30331,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT GT IPT PTM TT ? PVTN ? CLF CMHG MC 
MD PI SF SI SMHA SWFS ? PA SS ? TAY GL MF CJ CO TRMA PTSD SED SMI ? CM COOT FPSY 
IPC SPS ? SMON ? CHLD YAD"
Anchor Hospital,5454 Yorktowne Drive,Atlanta,Georgia 30349,30349,"? MH SUMH ? HI OP PHDT ? PSY ? AT BMT CBT CFT GT IDD IPT PTM TT ? CIT WI ? PVTP ? 
MC MI PI SF SI VAF ? SE VET ADM CO TRMA PTSD SED SMI ? CDM CM COOT DEC ES FPSY 
IPC SPS ? NRT NSC STU TCC ? SMPD ? ADLT CHLD SNR YAD ? AH"
Atlanta Medical Center Behavioral Health Services,303 Parkway Drive NE,Atlanta,Georgia 30312,30312,"? MH SUMH ? HI ? PSY ? AT BMT CBT CFT GT IPT PTM TT ? CIT WI ? PVTN ? MC MD MI PI SF 
SI ? SE CO ALZ SMI ? CM DEC ES FPSY HS PRS SPS PEER ? NRT STU TCC ? SMON ? ADLT 
SNR YAD ? AH"
Berman Center,"1200 Ashwood Parkway, Suite 400",Atlanta,Georgia 30338,30338,"? MH SUMH ? OP TELE ? OMH ? CBT CFT DBT GT IPT TT ? PVTP ? PI SF ? SS ? CO TRMA 
PTSD ? ACT CM COOT DEC ES FPSY ICM PRS SPS ? SMPD ? ADLT CHLD SNR YAD"
Bethany Christian Services of Georgia Inc,6645 Peachtree Dunwoody Road NE,Atlanta,Georgia 30328,30328,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT IPT PTM TT ? CIT ? PVTN ? CLF CMHG MD 
OSF PI SCJJ SEF SF SI SMHA SWFS ? TAY GL CO TRMA PED PTSD SED ? COOT FPSY SPS 
TPC ? SMON ? ADLT CHLD SNR YAD ? SP"
Breakthrough Recovery Outreach,3648 Chamblee Tucker Road Suite F,Atlanta,Georgia 30341,30341,"? MH SUMH ? OP PHDT RES ? MSNH ? AT CBT CFT DBT GT IDD IPT PTM TT ? PVTP ? FQHC 
? MD PI SF SI ? CO ? CM COOT HS IPC PRS SH SPS PEER ? NSC STU TCC ? SMPD ? ADLT 
CHLD SNR YAD ? AH"
CHRIS 180 Inc / Child and Adolescent Family Center,2805 Metropolitan Parkway SW,Atlanta,Georgia 30349,30349,"? MH SUMH ? OP TELE ? OMH ? BMT CBT GT IDD IPT PTM TT ? PVTN ? CLF CMHG CSBG 
MC MD PI SF SI SMHA SWFS ? PA SS ? TAY GL MF CJ CO TRMA PTSD SED SMI ? CM COOT 
FPSY IPC SPS ? SMON ? CHLD YAD ? SP"
CHRIS 180 Inc /CHRIS Counseling Center,1017 Fayetteville Road Suite B,Atlanta,Georgia 30316,30316,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IPT PTM TT ? PVTN ? FQHC ? CLF 
CMHG CSBG MC MD OSF PI SCJJ SF SMHA SWFS ? SS ? TAY GL CO TRMA PTSD SED ? CM 
COOT ES FPSY HS PRS SEMP SH SPS TPC PEER ? STU ? SMPD ? ADLT CHLD SNR YAD ? 
AH"
DeKalb CSB Crossroads Program,23 Warren Street SE,Atlanta,Georgia 30317,30317,"? MH SUMH ? OP PHDT ? CMHC ? CBT DBT GT IDD PTM ? CIT ? LMG ? CLF CMHG CSBG MC 
MD OSF SCJJ SF SI SMHA SWFS ? SE CO TRMA PTSD SMI ? DEC HS IMR SEMP SPS VRS 
PEER ? STU ? SMPD ? ADLT SNR YAD ? AH"
DeKalb CSB North DeKalb Mental Health Center,3807 Clairmont Road,Atlanta,Georgia 30341,30341,"? MH SUMH ? OP PHDT ? CMHC ? CBT CFT DBT GT IDD IPT PTM TT ? CIT ? LMG ? CLF 
CMHG CSBG MC MD OSF SCJJ SF SI SMHA SWFS ? TAY SE CO TRMA PTSD SED SMI ? CM 
COOT DEC FPSY HS IMR SPS ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
DeKalb CSB The Kirkwood Center,23 Warren Street SE Atlanta,Georgia 30317,Phone: (404) 370-7474,,"? MH SUMH ? OP PHDT ? CMHC ? CBT CFT DBT GT IDD IPT PTM TT ? CIT ? LMG ? CLF 
CMHG CSBG MC MD OSF SCJJ SF SI SMHA SWFS ? TAY SE CO TRMA PTSD SMI ? CM COOT 
DEC FPSY HS IMR PRS SEMP SPS VRS PEER ? STU ? SMPD ? ADLT SNR YAD ? AH"
Emory Clinic Brain Health Center Department of Psychiatry,12 Executive Park Drive,Atlanta,Georgia 30329,30329,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT GT IPT PTM TT ? PVTN ? MC MD MI PI 
SF ? SE GL VET ADM MF CJ TRMA TBI PTSD ? SMON ? ADLT CHLD SNR YAD ? AH"
