Name,Address,City,State,Zip,Services
Community Hlth Ctr of Southern IA,117 South Main Street,Albia,Iowa 52531,52531,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT DBT IPT PTM TT ? PVTN ? FQHC ? CLF MC 
MD MI PI SF SI ? SS ? COOT FPSY SPS ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
Eyerly Ball Community MH Services Story County Outpatient Clinic,"2521 University Boulevard, Suite 121",Ames,Iowa 50010,50010,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT DBT GT IPT PTM TT ? CIT ? PVTN ? CLF 
CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF ? COOT FPSY ? SMON ? ADLT 
CHLD SNR YAD ? AH"
Lutheran Services in Iowa Inc,1323 NW Avenue,Ames,Iowa 50010,50010,"? MH ? OP RES ? RTCC ? AT BMT CBT CFT GT IPT PTM TT ? PVTN ? CLF MD OSF PI SCJJ SF 
SI SMHA SWFS ? CJ TRMA PTSD SED ? CM ES FPSY IPC ? SMON ? CHLD ? AH"
Mary Greeley Medical Center Behavioral Health Unit,1111 Duff Avenue,Ames,Iowa 50010,50010,"? MH SUMH ? HI TELE ? PSY ? AT CBT DBT ECT GT IPT PTM ? CIT WI ? PVTN ? CLF MC MD 
MI PI SF SI VAF ? SE CO SMI ? NRT NSC STU TCC ? SMON ? ADLT SNR YAD ? AH"
Richmond Center,1619 South High Avenue,Ames,Iowa 50010,50010,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? CLF MC 
MD MI PI SCJJ SF SI SWFS VAF ? SS ? CO ? COOT ES FPSY SPS ? NRT NSC STU TCC ? 
SMON ? ADLT CHLD SNR YAD ? AH"
Cass County Memorial Hospital Behavioral Health Unit,1501 East 10th Street,Atlantic,Iowa 50022,50022,"? MH ? HI TELE ? PSY ? AT CBT GT IPT PTM TT ? PVTN ? CLF CMHG CSBG ITU MC MD MI 
OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? TAY SE GL VET ADM MF CJ CO HV ALZ PED PTSD 
SED SMI ? DEC ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH"
Southwest Iowa Mental Health Center,1500 East 10th Street,Atlantic,Iowa 50022,50022,"? MH ? OP ? CMHC ? CBT CFT GT IPT PTM TT ? CIT ? PVTN ? CLF MC MD MI PI SCJJ SEF SF 
SI SMHA VAF ? PA SS ? SED SMI ? COOT ? SMON ? ADLT CHLD SNR YAD ? AH ? SP"
Richmond Center,1332 South Marshall Street,Boone,Iowa 50036,50036,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? CLF MC 
MD MI PI SCJJ SF SI SWFS VAF ? COOT ES FPSY SPS ? NRT NSC STU TCC ? SMON ? ADLT 
CHLD SNR YAD ? AH"
Catholic Charities Diocese of Sioux City,409 1/2 West 7th,Carroll,Iowa 51401,51401,"? MH ? OP ? OMH ? BMT CBT CFT IPT TT ? CIT ? PVTN ? CLF MC MD PI SCJJ SF SI SWFS ? 
PA SS ? TRMA PTSD ? COOT ES ? SMON ? ADLT CHLD SNR YAD"
Counseling Services LLC,322 East 6th Street,Carroll,Iowa 51401,51401,"? MH SUMH ? OP ? OMH ? CBT CFT IPT TT ? PVTP ? CLF CMHG CSBG ITU MC MD MI OSF PI 
SCJJ SF SI SMHA SWFS VAF ? PA SS ? COOT ? SMPD ? ADLT CHLD SNR YAD"
Plains Area Mental Health Center,"318 South Maple Street, Suite 1",Carroll,Iowa 51401,51401,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
CLF CMHG CSBG MC MD MI OSF PI SF SI ? CM COOT ES FPSY IPC PEER ? STU ? SMPD ? 
ADLT CHLD SNR YAD ? AH"
St Anthony Regional Hospital St Anthony Mental Health Services,311 South Clark Street,Carroll,Iowa 51401,51401,"? MH SUMH ? OP ? OMH ? AT BMT GT PTM TT ? CIT WI ? PVTN ? MC MD PI SF SI ? COOT ES 
SPS ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR YAD"
MercyOne Cedar Falls Medical Center,515 College Street,Cedar Falls,Iowa 50613,50613,"? MH SUMH ? HI ? PSY ? CBT DBT GT IPT PTM TT ? PVTN ? CLF MC MD OSF PI SF SI SMHA ? 
SE ALZ ? CDM IPC SPS ? NRT NSC STU TCC ? SMON ? ADLT SNR ? AH"
