Name,Address,City,State,Zip,Services
Bell Mountain Village,620 North 6th Street,Bellevue,Idaho 83313,83313,"? MH ? RES TELE ? RTCA ? AT BMT CBT IDD IPT PTM ? PVTP ? MC MD PI SF SMHA ? SE VET 
ALZ ? CDM HS PRS ? SMPD ? SNR ? AH ? SP"
Positive Connections Plus LLC,"733 Main Street, Unit D",Bellevue,Idaho 83313,83313,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTP ? FQHC ? 
CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? PA SS ? CO HV ? 
CM COOT FPSY ICM PEER ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
Family Pathways Cooperative,34 Louella Street,Blackfoot,Idaho 83221,83221,"? MH SUMH ? OP ? OMH ? BMT CBT CFT GT IPT TT ? CIT ? PVTP ? CLF MC MD PI SF ? SE 
TRMA TBI PTSD SMI ? ACT CM FPSY IMR PRS SPS ? SMPD ? ADLT CHLD SNR YAD"
Idaho State Hospital South,700 East Alice Street,Blackfoot,Idaho 83221,83221,"? MH ? HI TELE ? PSY ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT ? SMA ? MC MD MI 
OSF PI SF SI SMHA SWFS ? SE CJ TRMA PTSD SED SMI ? CDM DEC ES FPSY HS IMR IPC 
SPS PEER ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH ? SP"
J and M Mental Health Inc,60 North Broadway Street,Blackfoot,Idaho 83221,83221,"? MH ? OP ? CMHC ? BMT CBT CFT GT IPT PTM TT ? WI ? PVTP ? CLF MD OSF PI SCJJ SEF 
SF SMHA SWFS ? PA ? CM COOT FPSY PRS SPS PEER ? SMPD ? ADLT CHLD SNR YAD ? SP"
Redford Counseling and Fam Servs,1053 West Bridge Street,Blackfoot,Idaho 83221,83221,"? MH SUMH ? OP ? OMH ? BMT CBT CFT DBT GT IPT TT ? PVTP ? CLF ITU MC MD MI PI 
SCJJ SF SI SMHA SWFS VAF ? SE VET ADM MF CJ CO HV TRMA PTSD SMI ? CM COOT FPSY 
PEER ? SMPD ? ADLT CHLD SNR YAD"
Region VII Mental Health Services,720 East Alice Street,Blackfoot,Idaho 83221,83221,"? MH SUMH ? OP TELE ? OMH ? CBT GT IDD IPT PTM ? CIT ? SMA ? CMHG OSF PI SF SMHA 
SWFS ? PA SS ? CJ CO SED SMI ? ACT CM COOT FPSY PRS SPS TPC PEER ? SMPD ? ADLT 
CHLD SNR YAD ? AH ? SP"
Stillwaters Counseling,1309 Camas Street,Blackfoot,Idaho 83221,83221,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT TT ? PVTP ? CLF CMHG 
CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? SS ? ACT CM COOT ES FPSY 
ICM IPC PRS SPS ? SMPD ? ADLT CHLD SNR YAD"
All Seasons Mental Health,6933 West Emerald Street,Boise,Idaho 83704,83704,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? WI ? PVTP ? 
FQHC ? CLF MC MD MI OSF PI SEF SF SI SMHA SWFS VAF ? PA SS ? MF CO TRMA PED 
PTSD SED SMI ? ACT CDM CM COOT DEC ES FPSY ICM IMR IPC PRS PEER ? NRT NSC STU 
TCC ? SMPD ? ADLT CHLD SNR YAD ? AH"
All Together Now Inc,1111 South Orchard Street Suite 230,Boise,Idaho 83705,83705,"? MH SUMH ? OP PHDT ? OMH ? AT CBT CFT DBT IPT TT ? PVTN ? MC MD MI PI SEF SF SI 
SMHA VAF ? SS ? SED SMI ? CM COOT ES FPSY PRS PEER ? SMPD ? ADLT CHLD SNR YAD 
? AH ? SP F28 F79"
