Name,Address,City,State,Zip,Services
Du Page County Health Department North Public Health Center,1111 West Lake Street,Addison,Illinois 60101,60101,"? MH SUMH ? OP ? OMH ? BMT CBT CFT DBT GT IPT PTM TT ? CIT WI ? LMG ? MC MD SF ? 
PA SS ? CO SED SMI ? CM FPSY SPS ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR YAD ? 
AH ? SP"
Alternatives Counseling Inc,"307 Henry Street, Suite 100",Alton,Illinois 62002,62002,"? MH ? OP ? OMH ? BMT CBT CFT GT IPT TT ? PVTP ? CLF MD MI PI SCJJ SF SI SWFS ? CJ 
TRMA PTSD ? COOT ? SMPD ? ADLT CHLD SNR YAD"
Alton Memorial Hospital,1 Memorial Drive,Alton,Illinois 62002,62002,"? MH SUMH ? HI ? PSY ? AT GT IPT PTM ? PVTN ? MC MD PI SF SI ? SE ALZ PTSD SMI ? 
CDM CM ES SPS ? STU TCC ? SMON ? SNR ? AH"
Centerstone of Illinois,2615 Edwards Street,Alton,Illinois 62002,62002,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN 
? CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? PA SS ? SE VET 
TRMA SED SMI ? CM COOT DEC FPSY ICM IPC LAD SEMP SPS PEER ? NRT NSC STU TCC ? 
SMON ? ADLT CHLD SNR YAD ? AH"
Centerstone of Illinois,2302 State Street,Alton,Illinois 62002,62002,"? MH ? OP ? OMH ? BMT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? MD SI ? SE SMI ? 
CM COOT HS SH PEER ? STU TCC ? SMPD ? ADLT SNR YAD ? AH"
OSF Saint Anthonys Health Center Psychological Services,815 East 5th Street Suite 101,Alton,Illinois 62002,62002,"? MH SUMH ? OP ? OMH ? CBT CFT GT IPT TT ? PVTN ? MC MD PI SF ? IPC ? STU TCC ? 
SMON ? ADLT CHLD SNR YAD ? AH"
Union Cnty Counseling Servs Inc,204 South Street,Anna,Illinois 62906,62906,"? MH ? OP TELE ? CMHC ? CBT CFT DBT GT IPT PTM TT ? CIT ? PVTN ? CLF MC MD MI PI 
SF SI SMHA ? PA SS ? TRMA PTSD SMI ? CM COOT DEC FPSY HS IMR SPS ? STU TCC ? 
SMPD ? ADLT SNR YAD ? SP F66"
Union Cnty Counseling Servs Inc Community Support Residential,311 West Vienna Street,Anna,Illinois 62906,62906,"? MH ? RES ? RTCA ? AT BMT GT PTM ? CIT ? PVTN ? MD ? SMI ? CM COOT DEC HS IMR 
SPS ? SMPD ? ADLT SNR YAD"
Union Cnty Counseling Servs Inc Manion Building,202 South Street,Anna,Illinois 62906,62906,"? MH ? OP ? CMHC ? AT BMT CBT CFT GT IPT TT ? CIT ? PVTN ? CLF MC MD PI SF SMHA ? 
PA SS ? TAY TRMA PTSD SED ? CM COOT FPSY IMR SPS ? SMPD ? ADLT CHLD SNR YAD"
Alexian Bros Center for Mental Health,"3436 North Kennicott Avenue, Suite 114",Arlington Heights,Illinois 60004,60004,"? MH ? OP PHDT ? CMHC ? CBT CFT DBT GT IPT PTM ? CIT WI ? PVTN ? CLF MC MD MI OSF 
PI SCJJ SEF SF SI SMHA SWFS VAF ? SS ? TAY SED SMI ? CDM CM COOT FPSY HS ICM IMR 
PRS SEMP SH SPS VRS PEER ? SMPD ? ADLT CHLD SNR YAD ? AH ? SP"
Kemmerer Village,941 North 2500 East Road,Assumption,Illinois 62510,62510,"? MH ? RES ? RTCC ? AT BMT CBT CFT DBT GT IPT PTM TT ? PVTN ? CLF MD OSF PI SCJJ 
SEF SF SI SMHA SWFS ? SED ? CM ES PRS TPC ? SMON ? CHLD"
AMITA Mercy Medical Center Behavioral Health Services,1325 North Highland Avenue,Aurora,Illinois 60506,60506,"? MH SUMH ? HI PHDT ? PSY ? AT CBT CFT DBT GT IDD IPT PTM ? CIT WI ? PVTN ? MC MD 
MI PI SF ? SE CO ALZ SED SMI ? CM DEC FPSY SPS ? NRT NSC STU ? SMON ? ADLT CHLD 
SNR YAD ? AH"
Association for Individual Dev Behav Health Outpatient,1230 North Highland Avenue,Aurora,Illinois 60506,60506,"? MH SUMH ? OP PHDT ? CMHC ? AT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? CLF CMHG 
CSBG MC MD OSF PI SCJJ SEF SF SI SMHA SWFS ? PA SS ? CJ CO TRMA PTSD SMI ? ACT 
CM COOT DEC FPSY ICM IMR PRS SEMP SPS ? STU TCC ? SMPD ? ADLT SNR YAD ? AH ? 
SP F36 F91"
Association for Individual Dev BH Supervised Living,1305 East New Indian Trail,Aurora,Illinois 60505,60505,"? MH SUMH ? RES ? RTCA ? PTM ? CIT ? PVTN ? CMHG MD SF SI SMHA ? PA SS ? SMI ? 
ACT CDM CM DEC HS ICM IMR IPC LAD SH SPS PEER ? NRT NSC STU ? SMPD ? ADLT SNR 
YAD"
Association for Individual Dev Supervised Living,1230 Pearl Street,Aurora,Illinois 60505,60505,"? MH SUMH ? RES ? RTCA ? PTM ? CIT ? PVTN ? CMHG MD SF SI SMHA ? PA SS ? SMI ? 
ACT CDM CM DEC HS ICM IMR IPC LAD SH SPS PEER ? NRT NSC STU ? SMPD ? ADLT SNR 
YAD"
Family Counseling Service,70 South River Street,Aurora,Illinois 60506,60506,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT GT IPT PTM TT ? CIT ? PVTN ? CLF MC 
MD PI SF SI ? SS ? SE TRMA PTSD SED SMI ? COOT FPSY SPS ? SMON ? ADLT CHLD SNR 
YAD ? SP F67"
