Name,Address,City,State,Zip,Services
Otis R Bowen Ctr for Human Servs Albion Office,101 East Park Drive,Albion,Indiana 46701,46701,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? 
PVTN ? CLF CSBG MC MD OSF PI SCJJ SEF SF SI SMHA SWFS ? SS ? CJ CO PTSD SED 
SMI ? CM COOT ES FPSY ICM IMR IPC PRS SEMP SPS VRS ? NSC TCC ? SMPD ? ADLT 
CHLD SNR YAD ? AH ? SP"
Aspire Indiana,1933 Chase Street,Anderson,Indiana 46016,46016,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? CLF 
CMHG MC MD MI OSF PI SF SI SMHA SWFS ? SS ? CO HV TRMA PTSD SED SMI ? CDM CM 
COOT HS ICM IMR IPC PRS SEMP SH SPS PEER ? NRT NSC STU TCC ? SMON ? ADLT 
CHLD SNR YAD ? AH"
Aspire Indiana,2020 Brown Street,Anderson,Indiana 46016,46016,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? FQHC ? 
CLF CMHG MC MD MI OSF PI SF SI SMHA SWFS ? SS ? CO HV TRMA PTSD SED SMI ? CDM 
CM COOT HS ICM IMR IPC PRS SEMP SH SPS PEER ? NRT STU TCC ? SMON ? ADLT CHLD 
SNR YAD ? AH"
Aspire Indiana,2009 Brown Street,Anderson,Indiana 46016,46016,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? CLF 
CMHG MC MD MI OSF PI SF SI SMHA SWFS ? SS ? CO HV TRMA PTSD SED SMI ? CDM CM 
COOT HS ICM IMR IPC PRS SEMP SH SPS PEER ? NRT STU TCC ? SMON ? ADLT CHLD 
SNR YAD ? AH"
Community Behavioral Health Anderson Crestview Center,3125 South Scatterfield Road Suite 200,Anderson,Indiana 46013,46013,"? MH ? OP ? OMH ? CBT CFT GT IDD IPT PTM TT ? CIT ? PVTN ? MC MD MI OSF PI SCJJ SF 
SI SMHA SWFS ? SS ? CO TRMA PTSD ? ACT CDM CM COOT PRS SPS ? NSC ? SMON ? 
ADLT CHLD SNR YAD ? AH"
Saint Vincent Anderson Regional Hosp Anderson Center,2210 Jackson Street,Anderson,Indiana 46016,46016,"? MH SUMH ? HI OP PHDT RES TELE ? PSY ? AT BMT CBT CFT DBT ECT GT IDD IPT PTM TT 
? CIT WI ? PVTN ? MC MD MI PI SEF SF SWFS ? CO TRMA PTSD ? ACT COOT ES FPSY IMR 
IPC SPS PEER ? STU ? SMON ? ADLT CHLD SNR YAD ? AH"
Northeastern Center Inc Steuben Cnty Satellite/Comm Support,3265 Intertech Drive,Angola,Indiana 46703,46703,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CLF 
CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS ? PA SS ? SE CJ CO TRMA PTSD SED SMI 
? CM COOT ES FPSY IPC PRS SEMP SPS VRS ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
Otis R Bowen Ctr for Human Servs Angola Office,200 Hoosier Drive Suite E,Angola,Indiana 46703,46703,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CLF 
CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? SS ? TAY SE GL VET 
MF CJ CO TRMA TBI PTSD SED SMI ? CM COOT ES FPSY ICM IMR IPC PRS SPS ? STU TCC 
? SMON ? ADLT CHLD SNR YAD ? AH"
Valley Oaks Health Outpatient Service,41 North Long Avenue,Attica,Indiana 47918,47918,"? MH SUMH ? OP ? CMHC ? CBT CFT GT IPT PTM ? PVTN ? CLF MC MD MI OSF PI SCJJ SF 
SI SMHA SWFS ? SS ? CM ? STU ? SMON ? ADLT CHLD SNR YAD ? AH"
Northeastern Center Inc DeKalb County Office OP,1800 Wesley Road,Auburn,Indiana 46706,46706,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? 
CLF MC MD MI PI SCJJ SF SI SMHA SWFS ? PA SS ? CO TRMA SED SMI ? CM COOT FPSY 
ICM IMR SPS ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
