Name,Address,City,State,Zip,Services
Memorial Hospital Rose Unit,511 NE 10th Street,Abilene,Kansas 67410,67410,"? MH SUMH ? HI TELE ? PSY ? AT CBT CFT IPT PTM ? PVTN ? MC MI PI SF ? SE VET TRMA 
ALZ PTSD ? FPSY IPC SPS ? NRT ? SMON ? SNR"
Horizons Mental Health Center Harper County Area Office,123 North Pennsylvania Avenue,Anthony,Kansas 67003,67003,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT GT IPT PTM TT ? CIT WI ? PVTN ? CLF 
CMHG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? SS ? SED SMI ? ACT CM COOT 
FPSY PRS SPS PEER ? SMON ? ADLT CHLD SNR YAD ? AH"
South Central Kansas Medical Center,6401 Patterson Parkway,Arkansas City,Kansas 67005,67005,"? MH SUMH ? HI TELE ? PSY ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTP ? 
MC MD PI SF SI ? SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PTSD ? CDM CM DEC ES 
FPSY ICM IMR IPC LAD PRS SPS PEER ? NRT NSC STU TCC ? SMON ? SNR ? SP"
Guidance Center Atchison County,201 Main Street,Atchison,Kansas 66002,66002,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? CLF 
CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS ? PA SS ? TAY SE GL VET ADM 
MF CJ CO HV TRMA PED PTSD SED SMI ? CM COOT ES FPSY PRS SEMP SH SPS VRS PEER 
? NSC TCC ? SMPD ? ADLT CHLD SNR YAD ? AH"
Pawnee Mental Health Services,1836 M Street,Belleville,Kansas 66935,66935,"? MH SUMH ? OP ? CMHC ? CFT IPT ? CIT ? PVTN ? MC MD PI SCJJ SF SI SMHA ? SS ? SED 
SMI ? CM COOT ? SMON ? ADLT CHLD SNR YAD ? AH"
Mitchell Cnty Hospital Health Systems,400 West 8th Street,Beloit,Kansas 67420,67420,"? MH SUMH ? HI TELE ? PSY ? AT BMT CBT GT IDD IPT PTM TT ? CIT WI ? PVTP ? MC MD MI 
PI SF VAF ? SE VET CJ CO TRMA TBI ALZ PTSD ? CDM CM ES ICM IMR IPC PRS SPS ? NRT 
NSC STU TCC ? SMON ? ADLT SNR"
Pawnee Mental Health Services Beloit Office,"207 North Mill Street, Suite 5",Beloit,Kansas 67420,67420,"? MH SUMH ? OP ? CMHC ? CBT CFT GT IPT ? CIT ? PVTN ? MC MD PI SCJJ SF SI SMHA 
SWFS ? SS ? SED SMI ? CM COOT ? SMON ? ADLT CHLD SNR YAD ? AH"
Southeast Kansas MH Center,402 South Kansas Avenue,Chanute,Kansas 66720,66720,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT GT IDD IPT ? CIT ? LMG ? CLF CMHG CSBG 
MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? PA SS ? SED SMI ? CM PRS SEMP SH 
SPS ? STU ? SMPD ? ADLT CHLD SNR YAD"
Pawnee Mental Health Services,503 Grant Avenue,Clay Center,Kansas 67432,67432,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT IPT PTM ? CIT ? PVTN ? MC MD MI PI SF SI ? SS 
? CO SED SMI ? CM COOT ? SMON ? ADLT CHLD SNR YAD ? AH"
High Plains Mental Health Center Colby Branch Office,750 South Range Avenue,Colby,Kansas 67701,67701,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT GT IDD IPT PTM TT ? CIT WI ? LMG ? CLF 
CMHG MC MD MI PI SF SMHA ? SS ? CM COOT ICM PRS SPS ? SMPD ? ADLT CHLD SNR YAD 
? AH"
Spring River Mental Health and Wellness Inc,201 West Walnut Street,Columbus,Kansas 66725,66725,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT GT IPT PTM TT ? CIT WI ? PVTN ? CLF 
CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS ? SS ? TAY CJ CO TRMA PED PTSD 
SED SMI ? CM COOT HS ICM PRS SPS ? NSC STU ? SMPD ? ADLT CHLD SNR YAD"
Pawnee Mental Health Services,210 West 21st Street,Concordia,Kansas 66901,66901,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IPT PTM ? CIT ? PVTN ? MC MD 
MI PI SF SI SMHA ? SS ? SED SMI ? CM COOT PRS SEMP SPS ? SMON ? ADLT CHLD SNR 
YAD ? AH"
