Name,Address,City,State,Zip,Services
Adanta Group Clinton County Clinic,101 Adanta Circle,Albany,Kentucky 42602,42602,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CMHG 
CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? TAY SE CO TRMA PTSD SED SMI 
? CM COOT FPSY HS PRS SEMP SPS PEER ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
Community Based Interventions,104 Washington Street,Albany,Kentucky 42602,42602,"? MH SUMH ? OP ? OMH ? BMT CBT CFT DBT GT IDD IPT TT ? CIT ? PVTN ? CLF MD PI SCJJ 
SF SI SWFS ? SS ? TAY SE GL VET ADM MF CJ CO HV TRMA PED PTSD SED SMI ? CM COOT 
ES FPSY HS SPS ? STU ? SMPD ? ADLT CHLD SNR YAD"
Kings Daughters Medical Center,2201 Lexington Avenue,Ashland,Kentucky 41101,41101,"? MH SUMH ? HI ? PSY ? BMT CBT CFT GT IPT PTM ? CIT WI ? PVTN ? MD PI SF SI ? SE GL 
VET MF CJ CO HV TRMA ALZ PED PTSD SMI ? CM PRS SPS ? NSC TCC ? SMON ? ADLT SNR 
YAD ? AH"
Our Lady of Bellefonte Hospital,1000 Saint Christopher Drive,Ashland,Kentucky 41101,41101,"? MH SUMH ? HI OP ? PSY ? AT BMT CBT GT IDD IPT PTM ? CIT WI ? PVTN ? MC MD PI SF SI 
? SE CO ALZ PTSD SMI ? CDM CM IMR SPS ? NRT NSC STU TCC ? SMON ? ADLT SNR YAD ? 
AH"
Pathways Inc,201 22nd Street,Ashland,Kentucky 41101,41101,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF ? PA SS ? CO TRMA PED PTSD 
SMI ? CM COOT FPSY HS ICM LAD SPS PEER ? SMPD ? ADLT CHLD SNR YAD ? AH"
Pathways Inc,3701 Lansdowne Drive,Ashland,Kentucky 41102,41102,"? MH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IPT PTM ? CIT WI ? PVTN ? CMHG 
CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF ? PA SS ? TAY CJ SED SMI ? ACT CDM 
CM COOT ES FPSY HS ICM IMR SEMP SH SPS VRS PEER ? STU ? SMPD ? ADLT CHLD SNR 
YAD ? AH"
Cumberland River Behavioral Health,704 Pitzer Street,Barbourville,Kentucky 40906,40906,"? MH SUMH ? OP PHDT TELE ? CMHC ? BMT CBT CFT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
CMHG MC MD MI OSF PI SCJJ SF SI SMHA ? SS ? TAY CO SED SMI ? ACT CDM CM COOT 
DEC ES FPSY HS ICM IMR PRS SEMP SH SPS PEER ? STU ? SMPD ? ADLT CHLD SNR YAD ? 
AH"
Communicare Outpatient Clinic,331 South 3rd Street,Bardstown,Kentucky 40004,40004,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CLF 
CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS ? SS ? TAY GL CJ CO TRMA PTSD 
SED SMI ? CM COOT DEC FPSY HS IMR PRS SEMP SH SPS VRS PEER ? STU TCC ? SMPD ? 
ADLT CHLD SNR YAD ? AH"
Kentucky River Community Care Inc Lee/Owsley Outpatient,1060 Grand Avenue,Beattyville,Kentucky 41311,41311,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SMHA SWFS VAF ? PA SS ? TAY CJ CO 
TRMA PTSD SED SMI ? ACT CDM CM COOT FPSY HS ICM IMR PRS SEMP SH SPS ? STU TCC 
? SMPD ? ADLT CHLD SNR YAD ? AH"
Ohio County Office,1269 Duvall Road,Beaver Dam,Kentucky 42320,42320,"? MH SUMH ? OP TELE ? OMH ? CBT CFT GT IDD IPT PTM TT ? CIT ? LMG ? CMHG MC MD 
PI SF SI SMHA SWFS ? CO PTSD SED ? CM COOT SPS ? SMPD ? ADLT CHLD SNR YAD ? AH"
Mountain Comprehensive Care Center Outpatient Clinic/Comm Mental Health,26229 U.S. Highway 119 North,Belfry,Kentucky 41514,41514,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? MC 
MD MI PI SCJJ SF SI SMHA SWFS VAF ? PA SS ? TRMA ? ACT CDM CM COOT FPSY ICM IPC 
SEMP SH SPS TPC PEER ? TCC ? SMPD ? ADLT CHLD SNR YAD ? AH"
Bellevue CBOC,103 Landmark Drive,Bellevue,Kentucky 41073,41073,"? MH SUMH ? OP TELE ? CBT CFT GT PTM TT ? WI ? VAMC ? VAF ? VET PTSD ? CDM DEC 
SPS ? NRT NSC STU TCC ? SMPD ? ADLT SNR YAD ? VO"
LifeSkills Inc,380 Suwannee Trail Street,Bowling Green,Kentucky 42103,42103,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT GT IDD IPT PTM TT ? PVTN ? CMHG MC MD 
PI SCJJ SF SMHA SWFS ? SS ? TAY CO SED SMI ? CM ES HS IMR PRS SEMP SH SPS TPC 
PEER ? SMPD ? ADLT CHLD SNR YAD ? AH"
LifeSkills Inc Adult Crisis Stabilization,822 Woodway Drive,Bowling Green,Kentucky 42101,42101,"? MH SUMH ? RES TELE ? RTCA ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
MC MD OSF PI SMHA ? PA ? SE SMI ? CM FPSY SPS PEER ? SMPD ? ADLT SNR YAD"
LifeSkills Inc Childrens Crisis Stabilization Unit,501 Chestnut Street,Bowling Green,Kentucky 42101,42101,"? MH ? RES TELE ? RTCC ? AT BMT CBT CFT DBT GT IPT PTM TT ? CIT WI ? PVTN ? CMHG 
MD PI SF SI SMHA SWFS ? PA ? SED ? CM ES FPSY PRS SPS TPC ? STU ? SMON ? CLHD"
Rivendell Behavioral Health Services,1035 Porter Pike,Bowling Green,Kentucky 42103,42103,"? MH SUMH ? HI OP PHDT TELE ? PSY ? AT CBT CFT DBT GT IDD IPT PTM TT ? WI ? PVTP ? 
CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? CO SED ? CM 
DEC ES FPSY SPS ? NRT NSC STU TCC ? SMPD ? ADLT CHLD YAD ? AH"
Sunrise Childrens Services Bowling Green,"941 Lehman Avenue, Suite 106",Bowling Green,Kentucky 42103,42103,"? MH SUMH ? OP ? OMH ? AT BMT CBT CFT GT IDD IPT TT ? CIT ? PVTN ? CMHG CSBG MD 
SCJJ SWFS ? TAY CO TRMA PTSD SED ? CM ES FPSY HS PRS SEMP SH TPC ? SMPD ? 
CHLD YAD"
Communicare Outpatient Clinic,2025 Bypass Road,Brandenburg,Kentucky 40108,40108,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
MC MD MI PI SF SI SMHA ? PA SS ? CO TRMA PTSD SED SMI ? ACT CM COOT FPSY ICM IMR 
SEMP SPS PEER ? SMPD ? ADLT CHLD SNR YAD ? AH"
Sunrise Childrens Services Cumberland Adventure Program,500 New Start Road,Bronston,Kentucky 42518,42518,"? MH SUMH ? RES ? RTCC ? AT BMT CBT GT IPT PTM TT ? PVTN ? OSF SMHA SWFS ? CO 
TRMA PTSD SED ? ES ? STU TCC ? SMON ? CLHD"
Comprehend Inc Bracken County CMHC,429 Frankfort Road,Brooksville,Kentucky 41004,41004,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CLF 
CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? SS ? TRMA ? CM COOT 
FPSY SEMP SPS VRS ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
LifeSkills Inc Edmonson County Service Center,205 Mohawk Drive,Brownsville,Kentucky 42210,42210,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS ? SS ? TAY SE GL CO PTSD 
SED SMI ? CM COOT FPSY ICM IMR SPS ? SMPD ? ADLT CHLD SNR YAD"
Buckhorn Children and Family Services Buckhorn Childrens Center,116 Buckhorn Lane,Buckhorn,Kentucky 41721,41721,"? MH ? RES TELE ? RTCC ? AT CFT GT IPT PTM ? PVTN ? MD MI PI SCJJ SF SI SWFS ? TRMA 
PTSD ? ACT CM DEC FPSY SPS VRS ? STU ? SMON ? CLHD"
Trigg County Hospital Seasons Behavioral Health,11 Hospital Street,Cadiz,Kentucky 42211,42211,"? MH SUMH ? OP ? OMH ? AT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? MC MD MI PI SF SI 
? CO TRMA PTSD ? ES FPSY IMR PRS SPS ? SMPD ? ADLT SNR YAD ? AH"
Spectrum Care Academy Inc Spectrum Care Glasgow I and II,6100 North Jackson Highway,Cave City,Kentucky 42127,42127,"? MH SUMH ? RES ? RTCC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTP ? MD SWFS ? GL 
CJ CO HV TRMA PED PTSD SED ? ES FPSY HS PRS SPS ? SMON ? CLHD"
Holly Hill Child and Family Solutions,9599 Summer Hill Road,California,Kentucky 41007,41007,"? MH SUMH ? OP RES ? RTCC ? AT BMT CBT CFT GT IPT PTM TT ? PVTN ? CLF MD OSF PI 
SF SMHA SWFS ? TRMA SED ? ACT CM FPSY SPS ? SMON ? CHLD ? AH"
