Name,Address,City,State,Zip,Services
Caring Choices Central Louisiana Human Services District,5411 Coliseum Boulevard,Alexandria,Louisiana 71303,71303,"? MH SUMH ? OP TELE ? OMH ? CBT CFT DBT GT IDD IPT PTM ? WI ? LMG ? FQHC ? CMHG 
CSBG MC MD PI SF SI SMHA ? PA SS ? CO SMI ? COOT SPS PEER ? NRT NSC STU TCC ? 
SMON ? ADLT CHLD SNR YAD ? AH"
Christus Saint Frances Cabrini Hosp,3330 Masonic Drive,Alexandria,Louisiana 71301,71301,"? MH SUMH ? HI ? PSY ? AT CBT CFT GT IPT PTM ? WI ? PVTN ? MC MD MI PI SF SI ? CO HV 
TRMA TBI PED PTSD ? CDM CM ES FPSY ICM PRS SPS ? NRT STU TCC ? SMON ? ADLT YAD 
? AH"
Compass Behavioral Center Alexandria,6410 Masonic Drive,Alexandria,Louisiana 71301,71301,"? MH SUMH ? HI OP PHDT TELE ? PSY ? AT CBT GT IDD IPT PTM ? CIT ? PVTP ? MC MD MI 
PI SF SI SMHA VAF ? CM COOT DEC ES IMR IPC PRS SPS VRS ? STU ? SMPD ? ADLT SNR 
YAD ? AH"
Longleaf Hospital,44 Versailles Boulevard,Alexandria,Louisiana 71303,71303,"? MH SUMH ? HI OP ? PSY ? AT CBT CFT GT IPT PTM ? WI ? PVTP ? ITU MC MD MI PI SF VAF 
? VET ADM CO PTSD ? CM FPSY SPS ? NSC STU TCC ? SMPD ? ADLT CHLD SNR YAD ? AH"
Metropolitan Human Services District Saint Bernard Behavioral Health Ctr,6624 Saint Claude Avenue,Arabi,Louisiana 70032,70032,"? MH SUMH ? OP ? OMH ? CBT GT IPT PTM TT ? CIT WI ? LMG ? CMHG CSBG MC MD OSF SI 
SMHA ? PA ? CO TRMA SED SMI ? CM HS IPC LAD SEMP SH VRS PEER ? STU TCC ? SMON ? 
ADLT CHLD SNR YAD ? AH"
Bastrop Behavioral Health Clinic,451 East Madison Street,Bastrop,Louisiana 71220,71220,"? MH SUMH ? OP ? OMH ? CBT IPT PTM TT ? OSG ? CMHG MC MD MI PI SF SI SMHA ? PA 
SS ? CM COOT FPSY IPC ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH"
Cypress Grove Behavioral Health,4673 Eugene Ware Boulevard,Bastrop,Louisiana 71220,71220,"? MH ? HI TELE ? PSY ? AT BMT CBT CFT GT IDD IPT PTM ? PVTP ? CLF ITU MC MD MI OSF 
PI SCJJ SEF SF SI SMHA SWFS VAF ? TRMA PTSD SED ? CM ES FPSY SPS ? STU ? SMON ? 
CHLD"
Apollo Behavioral Health Hospital,9938 Airline Highway,Baton Rouge,Louisiana 70809,70809,"? MH SUMH ? HI OP PHDT ? PSY ? AT BMT CBT GT IDD IPT PTM TT ? PVTP ? MC MD MI PI 
SF SI VAF ? SE GL VET ADM MF CJ CO HV ALZ PED PTSD SMI ? ACT CDM CM COOT DEC ES 
FPSY HS ICM IMR IPC LAD PRS SPS PEER ? NRT STU TCC ? SMPD ? ADLT SNR YAD ? AH"
Baton Rouge Behavioral Hospital,4040 North Boulevard,Baton Rouge,Louisiana 70806,70806,"? MH SUMH ? HI OP ? PSY ? AT BMT CBT CFT GT IPT PTM TT ? WI ? PVTP ? MC MD MI PI SF 
? CO TRMA PTSD SMI ? CM FPSY ? NRT NSC ? SMPD ? ADLT SNR YAD ? AH"
Baton Rouge General Behavioral Wellness Center,4045 North Boulevard Suite A,Baton Rouge,Louisiana 70806,70806,"? MH SUMH ? OP ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? MC MI PI SF 
VAF ? SE CO ALZ PTSD SMI ? CDM CM COOT FPSY IMR SPS ? SMPD ? ADLT SNR YAD ? AH"
Baton Rouge General Medical Center,3401 North Boulevard Suite 100,Baton Rouge,Louisiana 70806,70806,"? MH SUMH ? OP ? OMH ? BMT CBT ECT IPT PTM TT ? CIT ? OSG ? CLF MC OSF PI SF SI 
SMHA ? GL CO HV TRMA ALZ PED PTSD SMI ? ES PRS SPS ? NRT NSC TCC ? SMON ? ADLT 
SNR YAD"
