Name,Address,City,State,Zip,Services
Harford County Health Department,253 Paradise Road,Aberdeen,Maryland 21001,21001,"? MH SUMH ? OP ? OMH ? AT BMT CBT CFT GT IDD IPT PTM TT ? CIT ? OSG ? CLF CMHG 
CSBG MD OSF PI SCJJ SEF SF SMHA SWFS VAF ? PA SS ? CO PTSD SED ? CM ES FPSY 
PRS SPS VRS ? STU ? SMON ? CHLD"
Key Point Health Services Inc Administration and Outpatient Clinic,135 North Parke Street,Aberdeen,Maryland 21001,21001,"? MH SUMH ? OP RES ? MSNH ? AT BMT CBT CFT DBT GT IPT PTM TT ? PVTN ? CLF CMHG 
CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? TAY SE GL VET ADM MF CJ CO 
TRMA PED PTSD SED SMI ? ACT CDM CM COOT ES FPSY HS ICM PRS SH VRS PEER ? TCC 
? SMPD ? ADLT CHLD SNR YAD ? AH ? SP"
Villa Maria Harford County,1301 Continental Drive Suite 101,Abingdon,Maryland 21009,21009,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? FQHC ? 
MC MD ? TAY SE GL CO TRMA PTSD SED SMI ? CM PRS TPC ? NRT NSC STU TCC ? SMON ? 
ADLT CHLD SNR YAD ? SP"
Committed to Change PC,420 Chinquapin Round Road Suite 21,Annapolis,Maryland 21401,21401,"? MH ? OP ? OMH ? AT BMT CBT CFT GT IPT PTM TT ? CIT WI ? PVTP ? MD SF SI ? SS ? SE 
GL CJ CO HV TRMA TBI PED PTSD SED SMI ? FPSY HS PRS SPS ? NRT NSC STU TCC ? 
SMPD ? ADLT CHLD SNR YAD"
Psychotherapeutic Treatment Servs Inc,839 Bestgate Road,Annapolis,Maryland 21401,21401,"? MH ? PHDT RES ? RTCA ? AT CBT IDD PTM ? PVTP ? MC MD SF ? SE GL VET CO SMI ? 
COOT ES HS SEMP PEER ? TCC ? SMPD ? ADLT SNR"
ABA Health Services Inc,3939 Reisterstown Road Suite 150,Baltimore,Maryland 21215,21215,"? MH SUMH ? OP ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTP ? CLF CMHG 
CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? SS ? TAY SE VET MF CJ CO 
HV TRMA PTSD SED SMI ? ACT COOT FPSY PRS SPS ? STU TCC ? SMPD ? ADLT CHLD SNR 
YAD ? F4 F47"
Advanced Behavioral Health Inc,5820 York Road Suite 202,Baltimore,Maryland 21212,21212,"? MH ? OP ? OMH ? AT BMT CBT CFT GT IDD IPT PTM TT ? PVTP ? CLF MC MD PI SF SWFS 
? TAY GL CO TRMA PTSD SED SMI ? ACT CDM COOT ES FPSY IMR PRS SPS ? SMPD ? ADLT 
CHLD YAD ? SP"
All Walks of Life LLC,107 East 25th Street,Baltimore,Maryland 21218,21218,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT GT IDD IPT PTM TT ? WI ? PVTP ? CMHG 
CSBG MC MD ? PA ? TAY GL VET CJ CO HV TRMA PED PTSD SED SMI ? CM COOT DEC ES 
FPSY PRS SPS VRS ? STU ? SMON ? ADLT CHLD YAD ? SP"
Apex Counseling Center LLC,3200 Eastern Avenue,Baltimore,Maryland 21224,21224,"? MH SUMH ? OP ? OMH ? AT BMT CBT CFT GT IDD IPT PTM TT ? PVTP ? MC MD PI SF ? 
COOT DEC FPSY ? NSC STU TCC ? SMPD ? ADLT CHLD SNR YAD ? SP F80"
Baltimore Crisis Response Inc,5124 Greenwich Avenue,Baltimore,Maryland 21229,21229,"? MH SUMH ? RES ? RTCA ? AT CBT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? CMHG MD 
SMHA ? PA ? TAY SE GL VET MF CJ CO HV TRMA PTSD SMI ? CM ICM IMR SPS ? STU TCC ? 
SMPD ? ADLT SNR YAD ? AH"
Beyond This Day Behavioral Health Inc,1515 East Cold Springs Lane,Baltimore,Maryland 21218,21218,"? MH ? OP PHDT ? OMH ? AT BMT CBT DBT GT IDD IPT TT ? PVTP ? FQHC ? CMHG CSBG 
MC MD SCJJ SEF SF SI SWFS VAF ? PA SS ? CJ ? ACT CM COOT DEC ES FPSY HS ICM IPC 
LAD PRS SEMP SPS ? STU TCC ? SMPD ? ADLT SNR YAD"
Bon Secours Baltimore Health System Hospital Inpatient,2000 West Baltimore Street,Baltimore,Maryland 21223,21223,"? MH SUMH ? HI OP PHDT ? PSY ? AT CBT CFT GT IDD IPT PTM ? CIT WI ? PVTN ? CMHG 
CSBG MC MD PI SCJJ SF SI SMHA VAF ? CJ CO SED SMI ? ACT CDM CM COOT ES FPSY HS 
ICM IPC LAD PRS SEMP SH SPS VRS PEER ? NRT STU TCC ? SMON ? ADLT CHLD SNR YAD 
? AH"
Bon Secours Baltimore Health System Partial Hospitalization Empowerment,"2000 West Baltimore Street, 5th Floor",Baltimore,Maryland 21223,21223,"? MH ? OP PHDT ? PH ? AT BMT CBT CFT GT IPT PTM TT ? PVTN ? MC MD PI SF SI ? SED ? 
COOT DEC FPSY IMR PEER ? STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH"
Bon Secours Baltimore Health System Partial Hospitalization for Children,"2000 West Baltimore Street, 5th Floor",Baltimore,Maryland 21223,21223,"? MH ? OP PHDT ? PH ? AT BMT CBT CFT GT IPT PTM TT ? PVTN ? MC MD PI SF SI SMHA ? 
SED ? COOT FPSY ? SMON ? CHLD ? AH"
Bon Secours Baltimore Hospital Behavioral Health,2000 West Baltimore Street,Baltimore,Maryland 21223,21223,"? MH SUMH ? HI OP PHDT RES ? PSY ? AT BMT CBT CFT GT IDD IPT PTM TT ? WI ? PVTN ? 
CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? PA SS ? SE CJ CO 
TRMA PTSD SED SMI ? ACT CDM CM COOT DEC FPSY HS ICM IPC PRS SEMP SH SPS VRS 
PEER ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH"
Building Communities Today for Tomorrow,2901 Druid Park Drive Suite A-207,Baltimore,Maryland 21215,21215,"? MH SUMH ? OP ? OMH ? BMT GT ? CIT ? PVTP ? CLF MC MD OSF SCJJ SEF SF SI SMHA 
SWFS ? TAY SED SMI ? CM LAD PRS ? SMPD ? ADLT CHLD SNR YAD"
Center for Child and Family Traumatic Stress at Kennedy Krieger Institute,1741 Ashland Avenue,Baltimore,Maryland 21205,21205,"? MH ? OP ? OMH ? BMT CBT CFT DBT GT IPT PTM TT ? CIT ? PVTN ? MC MD MI PI SF ? GL 
MF TRMA PTSD SED ? CM COOT FPSY ? SMON ? CHLD YAD ? AH ? SP"
Change Health Systems Inc,2401 Liberty Heights Avenue Suite 4670,Baltimore,Maryland 21215,21215,"? MH SUMH ? OP TELE ? OMH ? CBT CFT GT IPT PTM TT ? CIT WI ? PVTP ? CLF CMHG 
CSBG MC MD OSF SCJJ SEF SF SMHA SWFS ? PA SS ? CO TRMA PTSD SED SMI ? CM COOT 
ES FPSY IPC PRS SPS ? SMPD ? ADLT CHLD SNR YAD ? SP F28 F96"
Change Health Systems Inc Downtown Baltimore Wellness Center,300 West Lexington Street,Baltimore,Maryland 21201,21201,"? MH SUMH ? OP TELE ? OMH ? CBT CFT GT IPT PTM TT ? CIT WI ? PVTP ? CLF CMHG 
CSBG MC MD OSF SCJJ SEF SF SMHA SWFS ? PA SS ? CO TRMA PTSD SED SMI ? CM COOT 
ES FPSY IPC PRS SPS ? SMPD ? ADLT CHLD SNR YAD ? SP F28 F96"
Changing Lives at Home Mental Health,4805 Garrison Boulevard,Baltimore,Maryland 21215,21215,"? MH SUMH ? OP TELE ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM ? CIT ? PVTP ? 
FQHC ? CLF CMHG CSBG MD OSF SCJJ SEF SF SMHA SWFS ? CM COOT ES FPSY PRS SPS 
VRS ? SMPD ? ADLT CHLD SNR YAD"
Chase Brexton Health Services Mental Health Treatment Services,1111 North Charles Street,Baltimore,Maryland 21201,21201,"? MH SUMH ? OP ? OMH ? CBT CFT GT IDD IPT PTM TT ? PVTN ? FQHC ? CLF MC MD OSF 
PI SF SI ? SE GL CO HV ? CDM CM COOT FPSY ICM IPC SPS PEER ? NRT NSC STU TCC ? 
SMPD ? ADLT CHLD SNR YAD ? SP"
Chrysalis House Inc Chrysalis House Healthy Start,4500 Park Heights Avenue,Baltimore,Maryland 21215,21215,"? MH SUMH ? RES TELE ? RTCA ? BMT CBT DBT GT IPT PTM TT ? PVTN ? CLF CMHG OSF 
SF ? MF CJ CO TRMA PTSD SMI ? CM DEC HS ICM PRS PEER ? STU TCC ? SMPD ? ADLT 
YAD"
Dynamic Healthcare,516 South Conkling Street Suite A,Baltimore,Maryland 21224,21224,"? MH ? OP ? CMHC ? BMT ? PVTP ? MD ? PA SS ? PRS ? SMON ? ADLT CHLD SNR YAD ? 
SP"
Glory Health Center Inc,4705 Harford Road Suite B,Baltimore,Maryland 21214,21214,"? MH ? OP ? OMH ? BMT ? PVTP ? FQHC ? MD ? SE SED SMI ? CM ES PRS ? SMPD ? ADLT 
CHLD SNR YAD"
