Name,Address,City,State,Zip,Services
Ascentria Community Services,"155 Center Street , Building B",Auburn,Maine 04210,04210,"? MH ? OP ? CMHC ? CFT DBT GT ? PVTN ? CLF CMHG MD OSF SCJJ SF SMHA SWFS ? 
TRMA PTSD SMI ? CM PRS ? SMPD ? ADLT SNR YAD"
Connections for Kids,155 Center Street Building E,Auburn,Maine 04210,04210,"? MH SUMH ? OP ? OMH ? BMT CBT CFT DBT GT IDD IPT TT ? PVTN ? MD PI SF SWFS ? SS 
? TAY GL CO TRMA PTSD SED SMI ? ACT CM COOT FPSY PRS ? SMPD ? ADLT CHLD YAD"
Pathways of Maine Inc Western Maine Region,155 Center Street Building F Suite 2,Auburn,Maine 04210,04210,"? MH SUMH ? OP ? OMH ? AT BMT CBT CFT DBT IPT TT ? PVTP ? MD MI PI SF SMHA SWFS ? 
TRMA PTSD SED ? CM FPSY IPC PRS SPS ? STU ? SMON ? ADLT CHLD YAD ? AH"
Anglez Behavioral Health Services PA,841 Riverside Drive,Augusta,Maine 04330,04330,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTP ? MC MD 
OSF PI SF ? GL CO TRMA PTSD SED SMI ? CM COOT ES FPSY HS PRS SEMP ? TCC ? SMPD 
? ADLT CHLD SNR YAD ? F4"
Community Health and Csl Servs Adult Child and Family Services,24 Stone Street Suite 201,Augusta,Maine 04330,04330,"? MH ? OP ? OMH ? BMT CBT CFT IPT TT ? PVTN ? CLF MC MD MI OSF PI SCJJ SF SI SMHA 
SWFS VAF ? SS ? TRMA ? CM FPSY TPC ? SMON ? ADLT CHLD SNR YAD ? AH"
Crisis and Counseling Centers Inc,10 Caldwell Road,Augusta,Maine 04330,04330,"? MH SUMH ? OP ? OMH ? CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CLF CMHG 
MC MD MI OSF PI SCJJ SF SI SMHA SWFS ? SE CO PTSD SED ? CM COOT FPSY SPS PEER 
? STU TCC ? SMPD ? ADLT CHLD SNR YAD ? AH"
Crisis and Counseling Centers Inc,8 Bangor Lane,Augusta,Maine 04330,04330,"? MH SUMH ? RES ? RTCA ? AT CBT CFT DBT GT IDD IPT TT ? CIT ? PVTN ? CLF CMHG 
CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS ? PA SS ? DEC FPSY HS PRS SPS ? STU ? 
SMPD ? ADLT SNR YAD ? AH"
Crisis and Counseling Centers Inc,113 Halifax Street,Augusta,Maine 04330,04330,"? MH SUMH ? RES ? RTCC ? AT CBT CFT DBT GT IDD IPT TT ? CIT ? PVTN ? CLF CMHG 
CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF ? PA SS ? SED ? DEC FPSY HS PRS 
SPS ? STU ? SMPD ? CHLD ? AH"
Kennebec Behavioral Health,66 Stone Street,Augusta,Maine 04330,04330,"? MH SUMH ? OP ? OMH ? CBT CFT DBT GT IDD IPT PTM ? PVTN ? CMHG MC MD MI PI 
SCJJ SF SI SMHA SWFS ? SMI ? CM ? SMON ? ADLT CHLD SNR YAD ? AH"
MaineGeneral Counseling Comm Care,9 Green Street,Augusta,Maine 04330,04330,"? MH SUMH ? OP ? OMH ? CBT CFT DBT GT IDD IPT TT ? PVTN ? MD PI SF ? SS ? CO ? ACT 
COOT ? STU ? SMON ? ADLT CHLD SNR YAD ? AH"
