Name,Address,City,State,Zip,Services
Princeton Baptist Medical Center,701 Princeton Avenue SW Birmingham,Alabama 35211,Alabama 35594,,"? MH ? HI ? PSY ? AT BMT CBT GT PTM ? WI ? PVTP ? CLF CMHG CSBG ITU MC MD MI OSF 
PI SF SI SMHA VAF ? SE ? CDM CM DEC ES FPSY ICM IMR IPC PRS SPS ? NRT NSC STU 
TCC ? SMON ? ADLT SNR ? AH"
Cherokee Etowah Dekalb CMHC White/Parker Home Specialized,901 Edith Street Centre,Alabama 35960,Alabama 35594,,"? MH SUMH ? RES TELE ? RTCA ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? 
CMHG MC MD MI OSF PI SF SI SMHA ? SS ? CO SMI ? CM COOT DEC ES FPSY HS PRS SPS 
VRS? STU TCC ? SMPD ? ADLT SNR YAD ? AH"
WellStone Inc,1909 Commerce Avenue NW Cullman,Alabama 35055,Alabama 35594,,"? MH SUMH ? OP PHDT TELE ? CMHC ? CBT DBT GT IDD IPT PTM TT ? LMG ? CLF CSBG 
MC MD MI PI SEF SF SI SMHA SWFS ? SS ? CO SED SMI ? CM COOT FPSY HS ICM PRS SH 
SPS PEER ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH"
Highland Health Systems Jacksonville Mental Health,614 Pelham Road South Jacksonville,Alabama 36265,Alabama 35594,,"? MH SUMH ? OP PHDT TELE ? CMHC ? AT BMT CBT CFT GT IPT PTM ? CIT WI ? PVTN ? 
FQHC ? CLF CMHG CSBG MC MD OSF PI SF SI SMHA ? PA SS ? PTSD SMI ? CM COOT ES 
FPSY ICM IPC SPS ? SMPD ? ADLT CHLD SNR YAD ? AH"
Birmingham VAMC Jasper Clinic,1454 Jones Dairy Road Jasper,Alabama 35501,Alabama 35594,,"? MH SUMH ? OP TELE ? CBT CFT GT IPT PTM TT ? CIT WI ? VAMC ? MC MI PI VAF ? VET ? 
CM FPSY SPS ? NRT NSC STU TCC ? SMPD ? ADLT SNR YAD ? VO ? AH"
West Alabama Mental Health Center Sumter County Office,1121 North Washington Street Livingston,Alabama 35470,Alabama 35594,,"? MH SUMH ? OP TELE ? CMHC ? AT CBT CFT GT IPT PTM ? CIT ? PVTN ? CLF CMHG 
CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? PA SS ? CO SMI ? CM 
COOT HS ICM SEMP SH ? SMON ? ADLT CHLD SNR YAD ? AH"
Beacon Behavioral Health 150 Hospital Drive,Luverne,Alabama 36049,Alabama 35594,,"? MH ? HI TELE ? PSY ? AT BMT CBT DBT GT IDD IPT PTM TT? CIT WI ? PVTP ? MD MI PI SF 
? TRMA PED PTSD SED ? CDM CM DEC ES FPSY ICM IMR IPC PRS SPS ? NRT NSC STU 
TCC ? SMON ? CHLD ? AH"
South Central Alabama MHC Graceland/3 Bed Group Home,5590 Hank Williams Road McKenzie,Alabama 36456,Alabama 35594,,"? MH SUMH ? RES ? RTCA ? AT BMT CBT CFT GT IPT PTM ? PVTN ? MD SF SMHA ? PA SS 
? SMI ? COOT FPSY SPS ? SMPD? ADLT SNR YAD ? AH"
Montgomery Area MH Authority,2140 Upper Wetumpka Road Montgomery,Alabama 36107,Alabama 35594,,"? MH ? OP TELE ? CMHC ? CBT CFT IPT PTM ? CIT WI ? LMG ? CLF CMHG MC MD MI PI SF 
SI SMHA ? SS ? SMI ? ACT CM COOT FPSY SEMP SH SPS PEER ? SMPD ? ADLT SNR YAD ? 
AH"
Shoals Hospital Shoals Mental Health Crisis Unit,201 West Avalon Avenue,2nd Floor,Alabama 35594,,"? MH SUMH ? HI ? PSY ? AT BMT CBT DBT GT IDD IPT PTM? CIT ? PVTP ? MC MD MI PI SF 
SI ? GL CJ CO HV TRMA TBI PTSD SMI ? CM DEC FPSY ICM IMR SPS ? NRT NSC STU ? 
SMON? ADLT SNR YAD ? AH 
 NORTHPORT"
Cahaba Center for Mental Health Annex,417 Medical Center Parkway Selma,Alabama 36701,Alabama 35594,,"? MH ? OP PHDT ? CMHC ? CBT CFT GT IPT PTM ? CIT ? PVTN ? MC MD PI SF ? PA SS ? 
SMI ? CM COOT FPSY ? SMPD? ADLT SNR YAD ? AH"
Cahaba Center for Mental Health Reynolds Building,1017 Medical Center Parkway Selma,Alabama 36701,Alabama 35594,,"? MH SUMH ? OP ? CMHC ? CBT CFT IPT PTM ? CIT ? PVTN ? MC MD PI SF ? PA SS ? CM 
COOT FPSY ? SMPD ? ADLT CHLD SNR YAD ? AH"
