Name,Address,City,State,Zip,Services
Anaheim Global Medical Center Behavioral Health Services,1025 South Anaheim Boulevard Anaheim,California 92805,Phone: (714) 687-4916,,"? MH ? HI OP PHDT ? PSY ? AT BMT CBT CFT GT IPT PTM TT ? CIT WI ? PVTP ? CLF MC MD 
PI SCJJ SF SI SMHA SWFS ? SS ? SE CJ SMI ? CM DEC IMR PRS SPS ? NRT STU TCC ? 
SMON ? ADLT SNR YAD ? AH"
West Anaheim Medical Center Behavioral Health Unit,3033 West Orange Avenue,Anaheim,3,,"? MH SUMH ? HI OP PHDT ? PSY ? AT BMT CBT GT IPT PTM ? PVTP ? MC ? SE CO ? CM ? 
STU ? SMPD ? ADLT SNR ? AH ? SP F43 F47 F81"
Barstow Counseling Center,1841 East Main Street Barstow,California 92311,Phone: (760) 255-5700,,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT ? OSG ? 
FQHC ? CLF CMHG CSBG MC MD OSF SF SI SMHA ? GL CJ CO TRMA SED ? CM COOT 
FPSY ICM PRS SEMP SH SPS VRS PEER ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH ? SP"
Imperial County Behavioral Health Children Adolescents Outpatient Servs,120 North 8th Street,El Centro,21,,"? MH ? OP TELE ? OMH ? BMT CBT CFT GT IPT PTM TT ? CIT ? LMG ? CLF CMHG MC MD 
MI PI SCJJ SEF SF SWFS VAF ? PA SS ? SED ? CM FPSY ICM PRS ? SMON ? CHLD ? AH ? 
SP"
Palomar Med Ctr Downtown Campus Center for Behav Health Services,"555 East Valley Parkway Administration, 3rd Floor Escondido",California 92025,Phone: (760) 739-3121,,"? MH SUMH ? OP ? OMH ? CFT GT IDD TT ? CIT ? PVTN ? MC MD PI SI SMHA ? PA ? CO 
TRMA SMI ? CM DEC ES FPSY HS IMR PRS SEMP SPS VRS PEER ? STU TCC ? SMON ? 
ADLT YAD ? AH ? SP F25"
720 Wood Street,Eureka,California 95501,Phone: (707) 268-2990,,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT IPT PTM TT ? CIT ? LMG ? CLF CMHG CSBG 
MC MD OSF PI SCJJ SI SMHA SWFS ? SS ? TAY SED ? CM COOT FPSY ICM PEER ? SMON ? 
CHLD YAD ? AH ? SP"
San Francisco VAMC Eureka CBOC,930 West Harris Street Eureka,California 95503,Phone: (707) 269-7500,,"? MH ? OP ? OMH ? BMT CBT CFT DBT GT IPT TT ? PVTN ? CLF MD PI SCJJ SF SMHA 
SWFS ? SS ? CJ ? COOT FPSY SPS ? SMPD ? ADLT CHLD SNR YAD"
Sonoma County Behavioral Health Community Mental Health Center,16390 Main Street,Guerneville,29,,"? MH SUMH ? HI OP PHDT ? PSY ? AT BMT CBT CFT DBT ECT GT IDD IPT PTM TT ? CIT WI ? 
PVTN ? ITU MC MD MI PI SF VAF ? SS ? SE CO SMI ? DEC FPSY SPS ? NRT NSC STU TCC ? 
SMON ? ADLT SNR YAD ? AH"
DAmore Healthcare 308 22nd Street,Huntington Beach,California 92648,Phone: (714) 375-1110x1,,"? MH SUMH ? OP ? OMH ? BMT CBT CFT IPT ? PVTP ? MC MI PI SF ? VET ADM TBI PTSD ? 
SMON ? ADLT SNR YAD ? SP"
Mission Hospital Laguna Beach Behavioral Health,31872 Pacific Coast Highway Laguna Beach,California 92651,Phone: (949) 499-1311x7221,,"? MH SUMH ? OP TELE ? OMH ? AT CBT CFT DBT GT IDD IPT PTM TT ? LMG ? CLF MC MD ? 
SMI ? ACT CM FPSY PRS ? STU ? SMPD ? ADLT CHLD SNR YAD ? AH ? SP"
