Name,Address,City,State,Zip,Services
,Hope for Tomorrow Mental Hlth Servs,"238 North Westmonte Drive, Suite 240",Altamonte Springs,,"? MH SUMH ? OP ? OMH ? BMT CBT CFT DBT GT IDD IPT TT ? PVTP ? MD MI PI SF SI SMHA 
VAF ? TAY SE GL ADM MF CJ CO TRMA PED PTSD SED SMI ? COOT FPSY IMR SPS ? SMPD ? 
ADLT CHLD SNR YAD"
Brandon Regional Hospital 119 Oakfield Drive,Brandon,Florida 33511,Phone: (813) 681-5551,,"? MH SUMH ? HI ? PSY ? AT BMT CBT CFT DBT ECT GT IDD IPT PTM TT ? WI ? PVTP ? MC 
MD MI PI SF SI VAF ? CO TRMA PTSD SMI ? FPSY HS SPS ? NRT NSC STU TCC ? SMON ? 
ADLT SNR YAD ? AH"
SMA Healthcare FACT,207 San Juan Boulevard Daytona Beach,Florida 32114,Phone: (386) 236-3200,,"? MH SUMH ? OP ? OMH ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? PI SF SI ? SMI 
? ACT CDM CM COOT DEC ES FPSY ICM IPC PRS SH SPS VRS PEER ? NRT NSC TCC ? 
SMON ? ADLT SNR YAD ? AH"
Fort Lauderdale Behav Hlth Center,Commented [PT1]: Continue cleaning from here,5757 North Dixie Highway,Fort Lauderdale,,"? MH SUMH ? HI OP PHDT ? PSY ? AT BMT CBT CFT DBT ECT GT IPT PTM TT ? CIT WI ? 
PVTP ? CLF ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? SS ? SE GL VET ADM 
MF CJ CO HV TRMA ALZ PTSD SMI ? COOT DEC FPSY ICM IPC SPS ? NRT NSC TCC ? SMPD 
? ADLT CHLD SNR YAD ? AH ? SP F19"
New Horizons of the Treasure Coast Inc Mental Health Services,4500 West Midway Road Fort Pierce,Florida 34981,Phone: (772) 468-5600,,"? MH SUMH ? HI OP RES TELE ? PSY ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? 
PVTN ? CLF CMHG MC MD MI OSF PI SCJJ SF SI SMHA ? PA ? CO SMI ? CM COOT DEC FPSY 
HS IPC PRS SH SPS PEER ? NRT STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH ? SP F19 
F36 F70 F81 F89"
Meridian Behavioral Healthcare Inc Alachua County Campus,4300 SW 13th Street Gainesville,Florida 32608,Phone: (352) 374-5600,,"? MH SUMH ? HI OP PHDT RES TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? 
CIT WI ? PVTN ? CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? SS 
? VET MF CJ CO HV TRMA PTSD SED SMI ? CDM CM COOT DEC FPSY HS IMR IPC PRS 
SEMP SH SPS PEER ? STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH ? SP"
GFC Counseling,611 South Main Avenue Groveland,Florida 34736,Phone: (352) 429-5600,,"? MH SUMH ? OP TELE ? ORES ? AT BMT CBT CFT DBT GT IDD IPT TT ? CIT ? PVTN ? CLF 
CSBG ITU MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? PA ? GL VET ADM MF CJ TRMA TBI 
PTSD ? CDM CM COOT DEC ES FPSY ICM IMR IPC LAD PRS SEMP SPS TPC VRS PEER ? 
NRT STU TCC ? SMPD ? ADLT CHLD SNR YAD ? SP"
Memorial Regional Hospital Outpatient Behavioral Health Center,3400 North 29th Avenue Hollywood,Florida 33020,Phone: (954) 276-3400,,"? MH SUMH ? OP PHDT TELE ? OMH ? CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? CLF 
MC MD MI OSF PI SF SI SMHA SWFS ? PA SS ? CO HV TRMA PTSD SMI ? CDM COOT DEC 
FPSY IPC SPS PEER ? NRT STU TCC ? SMPD ? ADLT SNR YAD ? SP F19 F70"
LifeStream Behavioral Center Leesburg Outpatient/WIN,215 North 3rd Street Leesburg,Florida 34748,Phone: (352) 315-7900,,"? MH SUMH ? OP ? OMH ? CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? CLF CMHG MC MD MI 
PI SF SMHA ? SS ? CO TRMA PTSD ? CDM COOT IPC ? STU ? SMON ? ADLT CHLD SNR YAD 
? AH"
Coral CMHC 2141 SW 1st Street Suite 103,Miami,Florida 33135,Phone: (305) 644-6024,,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT GT IPT PTM TT ? PVTP ? CSBG MC MD MI PI SCJJ 
SF SWFS VAF ? SS ? COOT FPSY PRS ? SMPD ? ADLT CHLD SNR YAD"
Miami Dade Community Services,1901 SW 1st Street,2nd Floor,Miami,,"? MH SUMH ? OP PHDT ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT TT ? PVTN ? CLF MC MD 
MI PI SCJJ SF SWFS ? SS ? SE GL VET ADM MF CO HV TRMA PED PTSD SMI ? ACT CM 
COOT ES FPSY ICM PRS SPS VRS ? STU TCC ? SMPD ? ADLT SNR YAD ? SP"
Avalon Center of Lakeview 6024 Spikes Way,Milton,Florida 32583,Phone: (850) 437-8900,,"? MH ? OP ? OMH ? BMT CBT CFT DBT GT IDD IPT PTM TT ? PVTN ? FQHC ? CLF CMHG 
CSBG MC MD MI OSF PI SF SI SMHA SWFS ? TRMA ? CM COOT ES SPS ? STU ? SMPD ? 
ADLT CHLD SNR YAD ? AH"
Orlando Health The Healing Tree,601 West Michigan Street Orlando,Florida 32805,Phone: (407) 317-7430,,"? MH ? OP ? OMH ? CBT CFT GT IPT TT ? PVTN ? CLF CMHG CSBG MD OSF SF SMHA ? PA ? 
CM FPSY ? SMON ? ADLT CHLD SNR YAD ? AH ? SP"
Riverside Behavioral Center Bayfront Health Punta Gorda,733 East Olympia Avenue Punta Gorda,Florida 33950,Phone: (941) 637-2474,,"? MH SUMH ? HI OP ? PSY ? AT BMT CBT DBT ECT GT IDD IPT PTM ? WI ? PVTP ? MC MD MI 
PI SF VAF ? SE CO SMI ? NRT NSC STU TCC ? SMON ? ADLT SNR YAD ? AH"
Gracepoint Adult Outpatient and Assessment Center,5707 North 22nd Street Tampa,Florida 33610,Phone: (813) 272-2244,,"? MH SUMH ? OP TELE ? OMH ? BMT CBT CFT DBT GT IDD IPT PTM TT ? WI ? PVTN ? CLF 
MC MD PI SF SI SMHA ? PA SS ? SE GL MF CJ CO TRMA PTSD SMI ? COOT FPSY IPC SPS ? 
SMON ? ADLT SNR YAD ? AH ? SP"
