Name,Address,City,State,Zip,Services
Webster Cantrell Hall,1942 East Cantrell Street Decatur,Illinois 62521,Phone: (217) 423-6961,,"? MH ? OP ? CMHC ? CBT CFT DBT GT IPT TT ? PVTN ? MD PI SF ? COOT FPSY ? SMON ? 
ADLT CHLD YAD"
Egyptian Public/MH Dept,Saline Cnty Office Behavioral Health,1412 U.S. Highway 45 North,Eldorado,,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? LMG ? 
CLF MD MI OSF PI SCJJ SEF SF SI SWFS VAF ? SS ? TAY SE GL VET ADM MF CJ CO TRMA 
PTSD SED SMI ? CM COOT DEC ES ICM IMR IPC SEMP SPS PEER ? NRT STU TCC ? SMPD ? 
ADLT CHLD SNR YAD ? AH"
Presence Behavioral Health,355 Ridge Avenue,2nd Floor,Evanston,,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT GT IDD IPT PTM TT ? CIT ? PVTN ? CLF MC MD 
OSF PI SF SI SWFS ? CO ? COOT FPSY ? SMPD ? ADLT CHLD SNR YAD ? AH ? SP"
Gateway Regional Medical Center Behavioral Health Services,2100 Madison Avenue Granite City,Illinois 62040,Phone: (618) 798-3888,,"? MH ? HI OP ? PSY ? AT BMT CFT GT IPT PTM ? CIT ? PVTP ? MC MD MI PI SF SI VAF ? SE 
? CM FPSY IPC SPS ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH"
Human Service Center Okawville Office,109 West Elm Street Okawville,Illinois 62271,Phone: (618) 243-2091,,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CMHG 
CSBG MC MD MI OSF PI SF SI SMHA SWFS ? CO TRMA PTSD ? CM COOT FPSY ? SMPD ? 
ADLT CHLD SNR YAD ? AH"
FamilyCore,330 SW Washington Street Peoria,Illinois 61602,Phone: (309) 676-2400,,"? MH ? OP ? OMH ? CBT CFT IPT TT ? PVTN ? MD OSF PI SF SI SWFS ? SS ? GL MF CO 
TRMA PTSD ? CM COOT FPSY SPS ? SMON ? ADLT CHLD SNR YAD ? AH"
Memorial Medical Center,701 North 1st Street Springfield,Illinois 62781,Phone: (217) 788-3000,,"? MH ? HI ? PSY ? AT CBT CFT ECT GT IPT PTM ? WI ? PVTN ? ITU MC MD MI PI SF SMHA ? 
SE GL CJ CO HV TRMA PED PTSD SMI ? SPS ? NRT NSC STU TCC ? SMON ? ADLT SNR YAD 
? AH"
Northwestern Medicine,Foxpointe Behavioral Health Services,760 Foxpointe Drive,Sycamore,,"? MH ? OP ? OMH ? BMT CBT CFT DBT GT IPT PTM TT ? PVTN ? MC MD MI PI SF ? FPSY ? 
SMON ? ADLT CHLD SNR YAD ? AH ? SP"
Care Horizon,120 Courthouse Square,P.O. Box 385,Toledo,,"? MH ? OP ? CMHC ? AT BMT CBT CFT DBT GT IPT PTM TT ? CIT WI ? PVTP ? MC MD PI SF 
SMHA ? SS ? TAY TRMA PTSD SMI ? CM COOT FPSY HS ICM SPS ? STU ? SMPD ? ADLT 
CHLD SNR YAD Douglas County MH and Family Csl RISE Behavioral Health and Wellness 114 
West Houghton Street 
Tuscola 
Illinois 61953 
Phone: (217) 253-4731
? MH SUMH ? OP ? CMHC ? BMT CBT CFT DBT GT IPT PTM TT ? CIT ? PVTN ? CMHG MC MD 
PI SCJJ SEF SF SI SWFS ? CM FPSY HS SEMP SPS ? SMPD ? ADLT CHLD SNR YAD ? AH"
Community Resource Center 421 West Main Street,Vandalia,Illinois 62471,Phone: (618) 283-4229,,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT DBT GT IDD IPT TT ? CIT WI ? PVTN ? CLF MC MD 
OSF PI SF SI SMHA ? SS ? CO TRMA ? CM COOT FPSY SEMP SPS ? SMPD ? ADLT CHLD SNR 
YAD ? AH"
