Name,Address,City,State,Zip,Services
1418 Beckland Drive,Angola,Indiana 46703,Phone: (260) 668-7198,,"? MH SUMH ? RES ? RTCA ? AT BMT IDD PTM ? CIT ? PVTN ? MC MD PI SF SI SMHA ? SS ? 
CJ CO SMI ? CDM CM COOT DEC HS ICM IMR IPC PRS SEMP SH VRS PEER ? NRT NSC 
STU TCC ? SMPD ? ADLT SNR YAD"
Park Center Inc Bluffton Branch Office,1115 South Main Street Bluffton,Indiana 46714,Phone: (260) 824-1071,,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT GT IDD IPT PTM TT ? WI ? PVTN ? MC MD MI PI 
SCJJ SF SI SMHA SWFS ? CJ ? CM COOT ES FPSY ICM IMR PRS SEMP SH SPS VRS ? 
SMON ? ADLT CHLD SNR YAD ? AH"
Adams Memorial Hospital,1100 Mercer Avenue,Decatur,8,,"? MH SUMH ? OP ? OMH ? BMT CBT CFT GT IPT PTM TT ? WI ? LMG ? MC MD MI PI SF SI ? 
SE CO TRMA ALZ PTSD SMI ? CM COOT DEC FPSY IPC ? STU ? SMON ? ADLT CHLD SNR 
YAD ? AH ? SP F28 F30"
145 West Green Meadows Drive,Greenfield,Indiana 46140,Phone: (317) 318-7100,,"? MH ? OP ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT ? PVTN ? MD MI PI SF SI 
SWFS ? TAY SE CO TRMA PTSD SED SMI ? ACT CM COOT ES FPSY HS SEMP SH SPS ? 
SMON ? ADLT CHLD SNR YAD ? AH"
222 East Ohio Street Suite 600,Indianapolis,Indiana 46204,Phone: (317) 275-8800,,"? MH SUMH ? OP TELE ? CMHC ? AT BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? 
PVTN ? FQHC ? CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? PA 
SS ? TAY SE GL CJ CO TRMA PTSD SED SMI ? CDM CM COOT DEC ES FPSY HS ICM IMR 
IPC PRS SEMP SH SPS VRS PEER ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR YAD ? 
AH"
Indianapolis,Indiana 46241,Phone: (317) 856-5201,Intake: (317) 857-6362,,"? MH ? OP ? OMH ? BMT CBT CFT DBT GT IPT TT ? PVTN ? MD MI PI SF ? FPSY ? SMON ? 
ADLT CHLD SNR YAD ? AH"
2605 North Lebanon Street,Lebanon,Indiana 46052,Phone: (765) 485-8000,,"? MH SUMH ? OP ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? MC 
MD MI PI SCJJ SF SI SMHA SWFS ? PA SS ? CO ? CM COOT FPSY PRS SEMP SPS VRS 
PEER ? STU TCC ? SMON ? ADLT CHLD SNR YAD ? AH ? SP"
Michiana Behavioral Health,1800 North Oak Drive Plymouth,Indiana 46563,Phone: (574) 936-3784,,"? MH ? OP TELE ? CMHC ? CBT CFT DBT GT IPT PTM TT ? CIT WI ? PVTN ? CLF CMHG MC 
MD MI OSF PI SCJJ SF SI SMHA SWFS VAF ? SED SMI ? CM ICM PRS SPS ? STU ? SMON ? 
ADLT CHLD SNR YAD ? AH"
Shelbyville,Indiana 46176,Phone: (317) 392-2564,Intakes: (317) 621-5700 (800) 273-8255,,"? MH SUMH ? OP TELE ? CMHC ? CBT CFT GT IDD IPT PTM TT ? CIT WI ? PVTN ? CLF 
CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF ? TAY CJ CO TRMA PTSD 
SED SMI ? CM DEC FPSY PRS SEMP SPS ? NRT NSC STU TCC ? SMON ? ADLT CHLD SNR 
YAD ? AH"
"1303 Husky Trail, Apartment 125",Warsaw,Indiana 46582,Phone: (574) 269-7775,,"? MH SUMH ? OP TELE ? CMHC ? BMT CBT CFT DBT GT IDD IPT PTM TT ? CIT WI ? PVTN ? 
CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS ? VET CO SED SMI ? CDM 
CM COOT FPSY IMR PRS SEMP SH SPS ? STU TCC ? SMON ? ADLT CHLD SNR YAD ? SP"
